City Name,Account No,Country,City Short Name,C40,Reporting Year,Measurement Year,Primary Methodology,Methodology Details,Total City-wide Emissions (metric tonnes CO2e),Reason for Increase/Decrease in emissions,City Location,Country Location
Comune di Bologna,36274,Italy,Bologna,,2014,2009,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Sustainable Energy Action Plan Guide Line,2270524.7,"Main cause is the economic crisis, secondary are actued mitigation actions","(44.4856087, 11.3547975)","(41.87194, 12.56738)"
City of Miami,35870,USA,Miami,,2014,2006,Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC) Pilot Version 1.0 (C40 and ICLEI),"For community data, City specific data was used where available, such as utility provided records. If City specific data was not available, relevant values were extrapolated by population ratios from County or State data.",4762364.27,,"(25.7890972, -80.2040435)","(37.09024, -95.712891)"
City of Burlington,2430,USA,Burlington,,2014,2010,Other: US Community Protocol for Accounting and Reporting,"The City of Burlington collects emissions data in an Excel-based GHG Inventory Modeling Workbook developed and populated with the help of an environmental consultant.  Electricity data comes from the Burlington Electric Department. Natural gas data is provided by Vermont Gas. To generate transportation data, staff input miles per functional class and average annual daily traffic into CACP Transport Assistant Tool to obtain vehicle miles traveled by functional class and total emissions. The calculation of the community solid waste adds the total CSWD municipal solid waste and construction and demolition debris, then multiplied it by the Burlington population over the CSWD population.",287535.99,No additional inventory analysis has been completed since last reporting period.,"(44.4758825, -73.212072)","(37.09024, -95.712891)"
Municipality of Curitiba,31156,Brazil,Curitiba,C40,2014,2008,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,3028301,,"(8.309021, -62.7288829)","(-14.235004, -51.92528)"
Comune di Piacenza,36495,Italy,Piacenza,,2014,1990,Other: Sustainable Energy Action Plan,"The SEAP consists of two parts:

1. The emissions inventory base (EIB), which provides information about the energy consumption of the township, on current and future CO2 emissions, calculated using the conversion factors listed in the guidelines of the European Commission, quantifies the amount of CO2 down, identify problems and opportunities for sustainable energy development of the territory and potential in relation to the exploitation of renewable energy sources.

Year taken as reference for calculations is 1990, in which the total CO2 emissions in the municipality of Piacenza amounted to 615,452 tons.

Following the guidelines of the EU total emissions have been separated the quantities resulting from industrial / commercial and the relative proportion of mobility on the same highway as Admiral. The Town Council has no direct powers. Therefore, emissions from sectors which Admiral. They can hack through their regulatory instruments / regulations and their initiatives / incentives (Municipality as Consumer, Construction and Urban Planning, Mobility and Transport, Agriculture and Forestry, Waste Management, Strategic Planning, Communication and Information) amounted to 284,462 tons., as the basis on which to calculate the amount to be cut down to move in 2020 to a value of at least 20% lower than in 1990.

In 2020, CO2 emissions from the sectors mentioned above correspond without corrective action to 338,259 tons. The set of actions that will be put in place will generate savings of 111,926 tons to 226,333 tons, bringing this value. equal to the value of 1990 decreased by 20.4%. Also in the SEAP were also included actions whose effects can not be quantified in terms of numbers but will also contribute to the achievement / improvement of the result.

2. The Action Plan (SEAP), which identifies a set of actions that the Administration intends to pursue in order to achieve the CO2 reduction defined in the EIB.

The Action Plan is the instrument through which the municipality intends to achieve the goal of reduction of 111,926 tons. CO2 emissions in 2020.

E 'was structured by defining n. 8 sectors of intervention for each specific actions are identified (n. 25) outlined in tabs that slope down detailed rules for implementation and the resources that the Town Council intends to put in place.",615452,,"(45.0519969, 9.6926451)","(41.87194, 12.56738)"
Government of Hong Kong Special Administrative Region,31169,Hong Kong,Hong Kong,C40,2014,2010,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The GHG inventory has been developed based on the relevant decisions of Conference of Parties of the UNFCCC and using internationally agreed and adopted methods, including the 2006 IPCC Guidelines for National Greenhouse Gas Inventories.

The 2006 IPCC Guidelines for National Greenhouse Gas Inventories contain the latest calculation methodologies adopted internationally to compile complete, national inventories of greenhouse gases.",41500000,"Hong Kong's GHG emission recorded a small decrease of 1.9%, from 42.3 million tonnes CO2e in 2009 to 41.5 million tonnnes CO2e in 2010, mainly due to increase in the share of natural gas use for local electricity generation.","(22.2880809, 114.1398015)","(22.396428, 114.109497)"
City of Copenhagen,31009,Denmark,Copenhagen,C40,2014,2012,Other: National Danish Carbon Emissions methodology for municipalities,"The methodology used provides an inventory of greenhouse gases at the municipality level, divided into sectors. The sectors are similar to those used for the official Danish emission inventory (IPCC sectors), and include; collective power and heating, Indivitual heating, Mobile sources, Tranportation and machinery, Incustrial processes, Solvents, Agriculture, Land use, and waste depositing and wastewater.

Simplified generalizations of the equations used for emission calculations are used. These are based on the assumption that emissions of a given activity can be estimated using data descriptive for the size of the activity multiplied by an emission factor pr unit or activity. That is, the inventory is primarily based on scope-2 data on heat and power consumption and scope-1 data on road traffic.

The method includes CO2-, CH4- and N2O-emission in the inventory.

As for the national inventories the calculation is built into several levels (Tiers) with increased requirements for municipalities regarding data quality. Each municipality may use different tiers for different sectors depending on the data available.

Tier 1 is mainly based on the Danish natinoal greenhouse gas inventory data using appropriate distributino keyw, in most cases the municipality's share of total population, for a given activity into municipality level.

Tier 2 is more detailed and includes emission factors used in the Danish national greenhouse gas inventories, while municipalities use their own activity data.

At Tier 3, which is the most detailes level; municipalities use municipality specific emission factors and activity data.",1958886,"The CO2-emissions from the City of Copenhagen in 2012 was 6% lower than the emissions in 2011. The reduction in the emissions is primarily caused by more wind power i the power production in Copenhagen and in Denmark in general. 

For Denmark as a whole, one kilowatt-hour of electricity emitted an average of almost 16% less CO2 in 2012 than in 2011, and almost 34% less than in 2005. This drop is partly attributable to higher wind production as well as more use of biomass in combined heat and power production.

There has also been a fall in electricity consumption in Copenhagen of about 2% compared with 2011.

Finally, Carbon emissions from traffic have also dropped slightly compared with 2011.","(55.6760968, 12.5683371)","(56.26392, 9.501785)"
Seixal,50667,Portugal,Seixal,,2014,2007,International Emissions Analysis Protocol (ICLEI),,415526,They decreased due to the implementation of the measures of the Action Plan for Sustainable Energy (PAES),"(-23.4266216, -46.5828767)","(39.399872, -8.224454)"
City of St Louis,35393,USA,St. Louis,,2014,2010,International Emissions Analysis Protocol (ICLEI),"This inventory was conducted using processes developed by ICLEI for their Cities for Climate Protection Program.  ICLEI provided an Excel-based Master Data Workbook to aid with the data organization.  Data was then entered into ICLEI’s emissions-calculating software, Clean Air-Climate Protection (2009) version 3.0 (CACP).  CACP is the primary tool used by local governments in the United States to conduct greenhouse gas emissions inventories.  Prior to data entry into CACP, some coefficients must be manually entered.  This inventory used a list of published electricity emissions factors by EPA’s Emission and Generation Resource Integrated Database (eGRID) for region SERC Midwest for 2005, and the North American Electric Reliability Corporation (NERC) electricity factors for criteria air pollutants for 2005 for the region represented by map number 04.",7506359,,"(38.6270025, -90.1994042)","(37.09024, -95.712891)"
Tokyo Metropolitan Government,31111,Japan,Tokyo,C40,2014,2011,Other: The Guidline set by Japanese Ministry of Environment,"Basically we follow a guideline set by the Ministry of Environment, which is called the ""Guideline for local governments about establishing local climate change action plans"". However, if there are new international or domestic methods which are more applicable, we use those methods too.

-Targets of calculations are CO2, CH4, N2O, HFC, PFC, SF6 and NF3.
-We calculate CO2 equivalent amount of emission for each gas by multiplying the amount of each emission by its global warming potential.
-Emissions are calculated by economic sectors: Residential, Commercial, Industrial and Transportation.
-Indirect CO2 emissions from consumption of purchased electricity are also included.
-Concerning emissions from trains, ships, and airplanes, we calculate them within the geographic boundary of TMG conforming to the international rule.",64770000,"The deterioration of electricity emission factor.
from 0.377 kg-CO2/kWh of FY 2010 to 0.461 kg-CO2/kWh of FY 2011 (approx. 28% worsened)","(35.6896342, 139.6921007)","(36.204824, 138.252924)"
Prefeitura de São Paulo,31184,Brazil,São Paulo,C40,2014,2003,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,15115000,,"(-23.5505199, -46.6333094)","(-14.235004, -51.92528)"
Municipality of Belo Horizonte,35848,Brazil,Belo Horizonte,,2014,2014,Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC) Pilot Version 1.0 (C40 and ICLEI),"In this inventory are presented the following issues:

1) Emissions from Stationary Sector Units, which are sub-sectored emissions in residential, commercial / institutional, industrial and power generation, essentially related to energy consumption profile in each building;

2) Emissions Sector Mobile Units, which are sub-sectored in emissions by road transport, rail and air, reflecting the energy matrix of the transport system deployed in the city;

3) Emissions from Waste Sector, which are sub-sectored in emissions by waste disposal in landfill, biological treatment and waste treatment / disposal of effluents.

GHG emissions by fuel consumption
Different concentrations of biofuels (ethanol and biodiesel) were established by the national authority for the distribution of Automotive Gasoline and Diesel. These concentrations were considered in the calculations and applied to the total of each fuel checked for the municipality, according to regulatory developments in the industry.
GHG emissions for electricity consumption
The indirect CO2 emissions per electricity consumption were calculated taking into account the average emission factor of the National Interconnected System in each year of the period considered. 
GHG emissions per treatment and release of liquid effluents
Belo Horizonte has 4 sewage treatment plants (STP) in operation, which are emitting methane and nitrous oxide: Arrudas STP, located in Sabará / MG which receiving wastewater of Belo Horizonte and Contagem / MG; Onça STP located in Belo Horizonte and also receives a fraction of sewage Contagem / MG; Olhos D'Água STP and Minas Solidária STP, located in Belo Horizonte and receive exclusive city sewers. There are a fifth STP, ETAF Sarandi/Ressaca that employs physicolchemical processes that do not emit greenhouse gases.
Moreover, a fraction of sewage collected in Belo Horizonte is not forwarded to any treatment plant, being deposited directly into the water body; another fraction of wastewater, which is not collected, it is presumably treated in septic systems (septic tanks), followed by infiltration.
Only a fraction derived of Belo Horizonte was considered in all STP which emit methane and nitrous oxide:
Arrudas STP
The Arrudas STP employs an activated sludge system for wastewater treatment, which is an aerobic system generates a high volume of biological sludge. This biological sludge is taken to stabilization in anaerobic reactors equipped with flow meters and methane content of biogas. There are too a firing device for biogás treatment.
Onça STP, Olhos D’Água STP e Minas Solidária STP
These stations employ wastewater treatment UASB reactors for wastewater treatment, which is a system emitting methane and nitrous oxide. These STP not have flow meters and methane content of the biogas. 
Autodepuration of Sewage in water bodies
A portion of the sewage collected by the local utility is disposal without any treatment in any water bodies, and emits methane.
Sewage Treatment Not Collected
The amount of sewage that is collected by the local utility can be arranged in various ways.
GHG emissions by treating municipal solid waste
Landfill
The solids waste generated in Belo Horizonte are taken for disposal in landfill in the municipality of Santa Luzia / MG (CTR Macaúbas), where there is no biogas recovery system. It was assumed, as a measure of conservatism, that 100% of the biogas generated in massive municipal solid waste is released into the atmosphere.
A fraction of the waste collected in the city is still willing to massive treatment center CTR-BR-040 in Belo Horizonte, in a separate area where, from 2010, began a system of thermoelectric generation from biogas generated at the landfill. Thus, biogas derived from the ancient massive waste should not be considered in the GHG inventory from 2010. Is it considered only the fraction derived from the provisions in recent separate area and not covered by biogas recovery system.
It is worth mentioning that according to this model first-order decay, GHG emissions due to waste disposal in landfill in a given year will be distributed in the following years, generating a passive emission, in decreasing order. For purposes of this inventory, we adopted a period of 10 (ten) years as horizon degradation of waste within the massif.
Composting
BH also conducts composting for organic waste. These activities take place in the CTRS Rod BR-040 and may incur nitrous oxide and methane. 
The calculations and formules can be seen on the attached doc.",2878873,"increase of medium income and, basically, number of cars increase","(38.5198325, -8.8695345)","(-14.235004, -51.92528)"
City of Cleveland,35859,USA,Cleveland,,2014,2010,US Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"This inventory was assembled through the collection and analysis of data with City of Cleveland staff as well as other city stakeholders such as utilities, regional coordinating agencies, local organizations and large emitters. Associated GHG emissions for all activities were calculated using an approach consistent with the International Council for Local Environmental Initiatives (ICLEI) - U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI) as the main guiding document, with methodologies from The Climate Registry (TCR), the World Resources Institute (WRI), the Intergovernmental Panel on Climate Change (IPCC), and the U.S. Environmental Protection Agency (EPA) also referenced. 

Tools - Inventory Management System:
Most of the calculations used to develop this inventory were carried out in an Information Management System (IMS), a Microsoft Excel-based spreadsheet that collects into one tool the original data, methodology applied, emission factors selected and a summary of GHG emission results. The IMS also provides charting, forecasting and benchmarking capabilities

Additional Notes:

> Scope 1 emissions includes stationary combustion and industrial process related emissions reported by some of the large emitters in the city. Direct fuel consumed numbers are not available for these emitters.
> Emissions associated with electricity generation plants is included under Scope 2 as indirect  emissions, except electricity consumed numbers reported from Rail transit under Scope 1 emissions.
 > Only fuels consumed that were inventoried under Scope 1 emissions have been reported in C1.7",11889595,2010 Baseline Inventory that’s being reported is our 1st comprehensive GHG inventory.,"(41.49932, -81.6943605)","(37.09024, -95.712891)"
Comune di Oristano,36252,Italy,Oristano,,2014,2005,2006 IPCC Guidelines for National Greenhouse Gas Inventories,We collect data from local energy provider and then we calculate GHG according to AEEG (autority for electric energy and gas) and IPCC conversion factors.,154534,,"(39.9094132, 8.588777)","(41.87194, 12.56738)"
Ville de Montreal,35894,Canada,Montreal,,2014,2009,"Other: 2006 IPCC Guidelines for National Greenhouse Gas Inventories AND Guide d'inventaire des émissions de gaz à effet de serre d'un organisme municipal (MDDEP, 2009)","Consumption data, for electrical and natural gas energy sources, were provided by the source suppliers (Hydro-Québec and Gaz Métro, respectively) for residential, commercial, institutional and industrial sectors. 

Oil and wood consumption values for residential, commercial, and institutional sectors were estimated using available provincial data.

Industrial GHG emissions data relating to energy sources other than electricity and natural gas, as well as emissions stemming from industrial processes, were available from Montreal’s Division du contrôle des rejets industriels, which has compiled these data for more than 20 years. 

Montreal’s transportation related GHG emissions were extracted from the provincial GHG inventory.  These were calculated, for each type of emitter, according to the proportion of provincial licence plates registered within the agglomeration’s political boundaries.  

Landfill emissions were quantified using LandGEM (Landfill Gas Emissions Model), an established quantification tool developed by the USEPA.",13722942,We have not produced a new inventory.,"(45.5086699, -73.5539925)","(56.130366, -106.346771)"
Prefeitura de Florianópolis,50384,Brazil,Florianópolis,,2014,2004,Other: vários,várias fontes bibliográficas,441664,,"(-27.5949884, -48.5481743)","(-14.235004, -51.92528)"
City of Porto,46514,Portugal,Porto,,2014,2004,Other: Methodology developed for the specific purpose and context,The GHG emissions inventory was developed through the energy supply and demand data by the Portuguese Directorate-General for Energy and Geology (www.dgeg.pt) and the National Statistics Institute (www.ine.pt). The Transports sector was estimated through a separate and specific mobility needs model.,1300000,"Porto Energy Agency has already calculated GHG emissions for 2004 and 2009. The 2004 GHG emissions were the basis for the Sustainable Action Plan development. As this is the first report, 2004 GHG emissions and related SEAP policies were submitted. The 2009 GHG emissions point to a decrease in the emissions mainly because of the decrease in the demand of fossil fuels (in mobility due to the Metro expansion) and “greener” national grid electricity.","(41.1579438, -8.6291053)","(39.399872, -8.224454)"
City of Los Angeles,10894,USA,Los Angeles,C40,2014,2010,Other: ICF METHODOLOGY,"Numerous widely accepted protocols for estimating GHG emissions were used to prepare the
Regional Inventory. The protocols used in the development of this inventory include those following
(listed in order of applicability for the inventory):
 CARB LGOP (California Air Resources Board et al. 2010). This protocol is the standard for
estimating emissions resulting from government buildings and facilities, government fleet
vehicles, wastewater treatment and potable water treatment facilities, landfill and composting
facilities, and other operations.
 The Climate Registry General Reporting Protocol (The Climate Registry 2009a). This
protocol provides guidance for preparing GHG inventories in California.
 IPCC Guidelines for National Greenhouse Gas Inventories (Intergovernmental Panel on
Climate Change 2006). This document is the international standard for inventories and provides
much of the baseline methodology used in the national and statewide emissions inventories.
 CARB California Greenhouse Gas Inventory Data 1990–2006 (California Air Resources
Board 2010). CARB’s documentation provides background methodology, activity data, protocols,
and calculations used for California’s statewide inventory.
 CEC Inventory of California Greenhouse Gas Emissions and Sinks: 1990 to 2004 (California
Energy Commission 2006). This inventory provides useful methodology and emission factors for
statewide GHG emissions inventorying.
 EPA Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990–2008 (U.S.
Environmental Protection Agency 2011). This inventory provides useful methodology and
emission factors for nationwide GHG emissions inventorying.
The LGOP employs the convention of categorizing local government emission sources as Scope 1
(direct), Scope 2 (indirect), and Scope 3 (other indirect). Although the LGOP is geared towards
municipal inventories, these same scope definitions apply to community inventories. The LGOP
defines these emissions as follows (California Air Resources Board et al. 2010).
 Scope 1: All direct GHG emissions (with the exception of direct CO2 emissions from biogenic
sources);
 Scope 2: Indirect GHG emissions associated with the consumption of purchased or acquired
electricity, steam, heating, or cooling; and
 Scope 3: All other indirect emissions not covered in Scope 2 that are not under the control or
influence of the local government (or a community), such as the emissions resulting from the
extraction and production of purchased materials and fuels, and transport‐related activities in
vehicles not owned or controlled by the reporting entity.
Scope 1 and 2 emissions were quantified and included in the Regional Inventory. For example, direct
building energy emissions associated with on‐site natural gas use are included in Scope 1 because
these emissions occur within each city and are subject to each respective city’s influence or control.",38717974,"Emissions have increased overall since the last inventory in 2004. This is due to increased energy usage in residential buildings, more vehicles and increased vehicle miles traveled. The down economy contributed to greater miles traveled for individuals searching for employment, increased electricity usage at home as more individuals found themselves at home without employment.  Yet, as the economy began to strengthen, more individuals found themselves able to drive more to avoid the airline prices when taking smaller trips.","(34.0522342, -118.2436849)","(37.09024, -95.712891)"
Alcaldía Metropolitana de Caracas,31159,Venezuela,Caracas,C40,2014,2013,2006 IPCC Guidelines for National Greenhouse Gas Inventories,We used only one methodology: the 2006 IPCC Guidelines for National Greenhouse Gas Inventory. Data was collected or estimated from official sources.,17424651,"Emissions have increased mainly due to the increase in fuel consumption for transport, and the increase in electricity consumption and waste generation due to population growth.","(10.4696404, -66.8037185)","(6.42375, -66.58973)"
City of Baltimore,35853,USA,Baltimore,,2014,2010,Other: Greenhouse Gas Emissions (ICLEI),"ICLEI’s methodology provides a systematic framework for local governments to track energy- and waste-related activities in the community, and to calculate the amounts of greenhouse gases produced by each activity and sector. The inventory methodology involves two sections: a community-wide assessment and a separate inventory of government operations.

Once completed, these inventories provide the basis for an emission forecast, and allow for the quantification of emission reductions associated with proposed measures.

Baltimore City’s Greenhouse Gas Emissions Inventory consists of two essentially distinct inventories: one for the Baltimore City community as a whole, defined by geographic borders, and one highlighting emissions resulting from the City of Baltimore’s Government operations and buildings owned. The Government Inventory is a subset of the Community Inventory (emissions from the municipal operations are embedded in the community inventory). Distinguishing the City Governmental emissions in this way allows the City, which formally committed to reducing emissions, to lead by example in tracking its own facilities and vehicles while evaluating the effectiveness of its emission reduction efforts.

Compiling Baltimore City’s emissions inventory required the collection of information from a variety of sources. The data represents 2010 energy usage, except where notes indicate data gaps that necessitated use of older records.

For our scope, all emissions associated with energy consumed in Baltimore City are included, regardless of the location of the original energy source. This means that, even though the electricity used by Baltimore residents is produced in a plant outside of Baltimore City’s geographical borders, this energy and the emissions associated with it appear in Baltimore City’s inventory. The decision to capture emissions in this way reflects the general philosophy that a community should take full responsibility for the impacts associated with its energy consumption, regardless of where the energy generation occurs.",7579144,,"(39.2903848, -76.6121893)","(37.09024, -95.712891)"
Comune di Torino,35886,Italy,Turin,,2014,2005,"Other: The city of Turin used, for its emission inventory, the methodology suggested by JRC (""How to develope a sustainable energy action plan"") for the Covenant of Mayors initiative.","The methodology consists in the collection of data about yearly energy consumption (MWh/year) from different sources (electricity, natural gas, diesel, liquid gas, biomass, pv, solar thermal, wind…). Following methodology of covenant of mayors , by considering different emission coefficients (Ton CO2/MWh) for all different suorces – is possible to obtain the total CO2 emission (Ton/year).",5065364,Our inventory was not updated since last year.,"(45.1006374, 7.6680046)","(41.87194, 12.56738)"
Vila Nova De Gaia,50675,Portugal,Vila Nova De Gaia,,2014,2009,Other:,"Os dados utilizados foram recolhidos no Instituto Nacional de Estatísticas  e na Direção Geral de Energia e Geologia.
www.DGEG.pt
www.ine.pt",,,"(41.1238759, -8.6117851)","(39.399872, -8.224454)"
City of Durban,35863,South Africa,Durban,,2014,2012,Other: International Local Government GHG Emissions Analysis Protocol Version 1.0; and Local Government Operations Protocol for the Quantification and Reporting of Greenhouse Gas Emissions Inventories Version 1.1,The protocols used were designed to provide standardized set of guidelines to assist local governments in quantifying and reporting GHG emissions associated with their government and community operations. Both protocols are based upon the Corporate GHG Protocol developed by the World Resources Institute (WRI) and the World Business Council for Sustainable Development (WBCSD) as well as technical guidance provided by the United Nations Intergovernmental Panel on Climate Change (IPCC).,23154180,Primarily due to better data collection and addressing data gaps.,"(-29.8586804, 31.0218404)","(-30.559482, 22.937506)"
Bornova Municipality,44132,Turkey,Bornova,,2014,2011,Other: IPCC,,758627,,"(35.2141598, 33.2947541)","(38.963745, 35.243322)"
Cascais,50680,Portugal,Cascais,,2014,2010,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"this was made with calculous platforms from international organizations such as UN (IPCC, and ICLEI) as well as EU comission",565382,,"(38.6970565, -9.4222945)","(39.399872, -8.224454)"
Singapore Government,35993,Singapore,Singapore,C40,2014,2012,Other: Revised 1996 IPCC Guidelines,"Singapore’s GHG inventory is computed using the IPCC sectoral approach. This approach sums up GHG emissions from the different sectors of the economy - power generation, industry, buildings, transport, households. As a city-state, there is no distinction between local government and municipal emissions inventory. Our national inventory is reported to the UNFCCC in line with the IPCC guidelines, which entails Scope 1 emissions. (Scope 1 emissions are direct GHG emissions from sources that are owned or controlled by the entity. Scope 1 can include emissions from fossil fuels burned on site, emissions from entity-owned or entity-leased vehicles, and other direct sources).",41500000,,"(51.9055346, 4.4742753)","(1.352083, 103.819836)"
City of San Francisco,31182,USA,San Francisco,C40,2014,2012,International Emissions Analysis Protocol (ICLEI),"The methodology for each type of emissions is explained below:

Residential/Commercial/Industrial/Direct Access Electricity: 
The majority of electricity used by the Residential, Commercial and Industrial sectors of San Francisco is purchased from PG&E. Exceptions to this are power to municipal operations, which is provided by the San Francisco Public Utility Commission (detailed in the Municipal Inventory guidance), and the remaining Direct Access power customers.

Data is provided by PG&E and the SFPUC. Emissions from electricity are calculated by applying each electricity source’s unique carbon profile to the total MWh’s consumed by each supplier’s customers.

Residential/Commercial/Industrial and Municipal Natural Gas: 
The residential, commercial, industrial, and municipal sectors of San Francisco purchase their natural gas from PG&E. Data is provided by both PG&E and the SFPUC. The California Climate Action Registry stationary combustion natural gas emissions factor is applied to the activity data to determine tons of GHGs. The emission factor for natural gas is based on combustion only and does not include upstream methane leakage from extraction and distribution of natural gas.

Municipal Electricity (including MUNI fleet electricity): 
Electricity usage data for municipal operations is obtained from the SFPUC. The electricity EF is provided by the SFPUC and applied to the usage data to determine the CO2 emissions.

Intra-regional & SF Road Vehicles: 
All vehicle related VMT have been consolidated into one report.  SFCTA provides modeled VMT data from their SFCHAMP model that includes all trips made by passenger vehicles and trucks within San Francisco and assigns half of the VMT associated with trips into or outside of SF.  The other half is attributed to the source or destination city per MTC guidance.  Pass-thru VMT are excluded from the total.  This methodology follows MTC guidance.  Daily VMT are multiplied by 330 to account for total weighted annual VMT where weekend demand is less than weekday. The 2010 CHAMP model did not include emissions from buses or freight. 
CO2e emissions are provided by the Bay Air Area Quality Management District using the Air Resource Board’s EMFAC model database.  The emission factor varies by year based on fleet composition used in the model from the DMV and modeling assumptions.

The emission factors vary by year and were supplied by the Bay Air Area Quality Management District. They were derived using EMFAC.

Rail – Caltrain Diesel Fuel: 
Estimates on total system fuel usage are obtained as well as passenger data, specifically total ridership and number of de-boardings in San Francisco. The percentage of trips de-boarding in San Francisco is share of trips attributable to San Francisco. This percentage is then applied to the total fuel usage, and that amount of fuel is multiplied by the California Climate Action Registry CO2 factor for diesel from mobile sources to determine emissions.
 
Rail – BART Electricity: 
In order to estimate emissions from BART attributable to San Francisco market area, data and total system power consumption was obtained from BART staff. Transbay and Westbay ridership was considered attributable to San Francisco and was divided by total ridership to determine a market share % for San Francisco. This market share % was than multiplied by total system power usage to determine the San Francisco share of power usage. The total system power data is based on electric propulsion data from: http://www.ntdprogram.gov/ntdprogram/data.htm. Emissions factor data is available from PG&E and is commonly published in internal/external reports on energy or GHG emissions.
  
Ferry – Diesel Fuel: 
Ferry data is an estimation of emissions from all Bay Area leisure and commuter ferries. Starting in 2009, the data for all 3 agencies included in SF’s inventory (City of Alameda, City of Vallejo, and Golden Gate Bridge, Highway, and Transportation District) is reported at: http://www.ntdprogram.gov/ntdprogram/data.htm.  Mode type is ‘FB’.

MUNI – Diesel Fuel:
Estimates of diesel fuel used by the SF Municipal Transportation Authority (SFMTA) revenue fleet (buses) were obtained from the SFMTA. The biodiesel content was separated out and only the diesel portion was included in the inventory for diesel emissions calculations. 

Emissions were calculated per Equation TR.4.A.2. Carbon Dioxide Emissions from Mobile Combustion of the U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions, Version 1.0, October 2012. 

The Emission Factor used was from the California Climate Action Registry General Reporting Protocol Version 3.1, January 2009.",4884340,"While there were decreased emissions from natural gas, municipal electricity, waste and municipal transportation bus diesel use, there were increased emissions from residential and commercial electricity use.

Updated information for community vehicle miles travelled (VMT) and the Caltrain and Ferry systems were not available as of the date of this submission so no comparisons can be made for those sectors at this time.","(37.7749295, -122.4194155)","(37.09024, -95.712891)"
City of Boston,35268,USA,Boston,C40,2014,2011,Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC) Pilot Version 1.0 (C40 and ICLEI),"For its inventory, the City of Boston relies on a mix of actual measurements and modeled calculations. Actual measurements are available for electricity, natural gas, and steam (obtained directly from energy utilities), and all sources related to mass transit and water and sewer (obtained from the regional authorities). Regional transportation models are used to calculate vehicle-miles-traveled in Boston, which are then converted to GHGs based on average fleet mileage. Fuel oil consumption is estimated based on sampling, census data, and some state consumption figures.

For its 2012 inventory, now in preparation, the City of Boston is taking advantage of some additional data sets to refine and adjust its modeled calculations. This modified methodology will then be used to revise its inventories for 2011 and earlier.",6766714,"The major factor in emission reduction is fuel switching, primarily from oil to natural gas. This has occurred at the generation scale (in electricity and steam generating plants) and at the individual scale (energy for heating individual homes and businesses). Increased energy efficiency has compensated for increases in population and economic and institutional development.","(42.3584308, -71.0597732)","(37.09024, -95.712891)"
Vilnius City Municipality,36154,Lithuania,Vilnius,,2014,2011,Other: EU Directive 2003/87/EB,,1499304,,"(54.6871555, 25.2796514)","(55.169438, 23.881275)"
City of Zaragoza,46473,Spain,Zaragoza,,2014,2012,"Other: El método está eleborado en esta Agencia de Medio Ambiente y descrito en la información del archivo adjunto al cuestionario ""2005-2012 Consumo y emisión CDP"".","EMISIONES DE CO2 DIRECTAS E INDIRECTAS (los datos no se refieren a CO2 equivalente). Se hacen constar los datos correspondientes a 2012 por no estar todavía disponibles los correspondientes a 2013.
Se ha establecido una metodología sencilla basada en los datos directos de consumo de combustibles en  la ciudad facilitando de este modo la actualización anual de las emisiones.
Los datos de consumo directo de combustibles son proporcionados cada año, directamente, por los canalizadores en los casos de  electricidad, gas natural y combustibles líquidos mientras que son estimados en el caso de los GLP, a partir de los datos de las distribuidoras.
Para los cálculos se utilizan los factores de emisión calculados a partir de los datos del informe del Inventario Nacional de Emisiones del Ministerio de Agricultura, Alimentación  y Medio Ambiente (MAGRAMA), en el caso de las emisiones directas, y los proporcionados por la Comisión Nacional de la Energía (CNE) para las emisiones debidas al uso de la electricidad.",3349364,Los motivos coinciden con los descritos en el caso de la municipalidad,"(41.6488226, -0.8890853)","(40.463667, -3.74922)"
City of Sydney,31114,Australia,Sydney,C40,2014,2005,Other: CCAP City reporting tool by Kinesis,"Consultancy commissioned to prepare emissions inventory based on utility network data, transport and waste analysis",5458899,"Emissions have decreased due to cleaning of the grid, increased network costs leading to greater awareness and behaviour change (indicating there is some price elasticity in electricity consumption), improved energy efficiency, uptake of solar PV and weather influences.","(-33.8674869, 151.2069902)","(-25.274398, 133.775136)"
City of Nagoya,35902,Japan,Nagoya,,2014,2010,Other:,"We measure GHG emission by human activities in the city area based on the manual for development of a local government action plan against global warming.
Outline of the calculation measures is as follows:
1. Collection of necessary data by refering to statistics and interviews to
concerned parties
2. We measure each GHG emission by multiplying each figure (data) by emission factors.",13650000,"Large reduction of CO2 emission associated with use of electricity at offices, shops factories and households, and the use of the Kyoto Mechanism Credit Acquisition Programme,have contributed to
reduction in GHG emission.","(35.1814464, 136.906398)","(36.204824, 138.252924)"
