Organization;Account number;Country;City;C40;Reporting year;Accounting year;Primary protocol;Primary protocol comment;Total city-wide emissions;City location;Country location;Accounting year start;CDP Region;Reporting authority;Access;City-wide emissions inventory;Accounting year end;Duration;Administrative city boundary;Inventory boundary (compared to Administrative city boundary);Common Reporting Framework inventory format (GPC);Gases included;Scopes included;Scope 1 generation of grid supplied energy;Scope 1 excluding generation of grid supplied energy;Scope 2 generation of grid supplied energy;Scope 2 excluding generation of grid supplied energy;Scope 3 generation of grid supplied energy;Scope 3 excluding generation of grid supplied energy;Scope 1;Scope 2;Scope 3;TOTAL BASIC emissions (GPC);TOTAL BASIC+ emissions (GPC);Comment;Change in emissions;Primary reason for the change in emissions;Land area (in square km);Population;Population Year;Average altitude (m);Average annual temperature (in Celsius);City GDP;GDP currency;Year of GDP;GDP Source;Last update
City of Philadelphia;31181;USA;Philadelphia;C40;2014;2010;International Emissions Analysis Protocol (ICLEI);"In general the ICLEI protocol was followed, however in some cases data was not available in the same fashion or format as described in the protocol.  

- Electricity, natural gas and steam usage was provided by the local utilities.
- Data related to on-site combustion of fuels was derived using the American Communities Surveys and allocated to Philadelphia based on population.
- Emissions from transportation was derived using the local regional planning commission's transportation model and EPA MOVES. EPA's non road emissions model was used for off road vehicles
- Industrial emissions were estimated by looking at EPAs GHG reporting project data and comparing it to previously known information from utilities.
- Waste data was modeled using MSW and private collection data along with local landfill and incernator emissions based on total waste.  This was counted as a scope 3 emissions because none of these facilities are within the City of Philadelphia";19780964.0;(39.952335, -75.163789);(37.09024, -95.712891);2010-01-01;;;;;;;;;;;;;;;;;;;;;;;;;"Emissions are down from the 2006 benchmark and up slightly from 1990.  There are several contributing factors to this:
- A cleaner Electricity grid from 2006 to 2010
- Reduced Vehicle Miles Traveled from 2006 to 2010
- Industrial Emissions are down from 1990 and 2006
- Building energy use is up from 2006.  It should be noted that two inventory years (2006 and 2010) had very different weather patterns and 2010 was a particularly cold year which is part of the reason for the large increase in natural gas use and in energy use in buildings.)";;;;;;;;;;
Greater London Authority;3422;United Kingdom;London;C40;2014;2011;2006 IPCC Guidelines for National Greenhouse Gas Inventories;"Stationary - Published central government datasets used for energy consumption and CO2 emissions from homes (residential buildings) and workplaces (commercial, industrial and government buildings and facilities).

Mobile - The London Atmospheric Emissions Inventory (in-house model) is used to calculate distances travelled from transport of people and goods by  road, railways, water-borne navigation, aviation, and off-road surface transport. National emissions factors are applied.

Please note that as non-CO2 greenhouse gases are minimal within London (less than 1% of emissions) only CO2 emissions are reported here.";39920355.0;(51.504858, -0.078689);(55.378051, -3.435973);2011-01-01;;;;;;;;;;;;;;;;;;;;;;;;;London's CO2 emissions in 2011 fell by 10 percent on 2010 levels, and by eleven percent on 1990 levels. This is significant as London's population is growing at a faster rate than expected. CO2 emissions reductions from 2010 appear to be driven by a warmer winter, meaning less gas consumption, as well as reductions achieved through national government and Mayoral programmes.;;;;;;;;;;
City of Minneapolis;35879;USA;Minneapolis;;2014;2012;US Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI);;4396116.0;(44.983334, -93.26667);(37.09024, -95.712891);2012-01-01;;;;;;;;;;;;;;;;;;;;;;;;;Electricity grid mix has gotten cleaner, warmer winter, slightly more fuel-efficient cars, airport has converted much of the fleet to more fuel efficient planes.;;;;;;;;;;
City of Melbourne;31109;Australia;Melbourne;C40;2014;2012;Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC) Pilot Version 1.0 (C40 and ICLEI);"City of Melbourne includes the emissions sources categorised in the GPC trial. Emissions sources are converted to CO2e using the emissions factors listed in the Australian National Greenhouse Accounts.

* Electricity, gas and water data was provided directly by the utility companies.
* Emissions from private vehicle use were estimated using a transport model built by Council which incorporates data from twice yearly traffic surveys and data on vehicle use collected by the Australian Bureau of Statistics.
* Emissions from tram and rail were taken from the government website which publishes emissions reports for all companies that reach the mandatory reporting threshold as dictated in the National Greenhouse and Energy Reporting Act 2007.
*The amount of waste produced within the municipality was estimated from a waste survey comissioned by Council and conducted in 2012.";6442240.0;(-37.814107, 144.96328);(-25.274398, 133.775136);2012-01-01;;;;;;;;;;;;;;;;;;;;;;;;;This year we used the same data reported for the GPC trial (with boundary changes resulting in different overall totals). The increase this year was due almost entirely to differences in the electricity data provided by the utility company (no explanation has been provided by the company).;;;;;;;;;;
Kaohsiung City Government;31112;Taiwan;Kaohsiung;;2014;2012;2006 IPCC Guidelines for National Greenhouse Gas Inventories;"The methodology we used is mainly based on "" Guidelines for City Level Greenhouse Gas Inventories"", which was published by Environmental Protection Administration, Executive Yuan, R.O.C. in July 2011, and ""2006 IPCC Guidelines for National Greenhouse Gas Inventories"". In addition, if there is emission coefficient research for specific local GHG emission estimation, we will apply local emission coefficient for calculation. Whole emission sources are separated into 7 sectors including energy sector, transportation sector, residential/commercial sector, industrial sector, waste sector, agriculture sector, and forestry sector. We collected data of energy and fuel consumption from each sector's competent authorities, and calculated city GHG emission with recommended emission coefficients.";63251100.0;(22.629705, 120.343804);(23.69781, 120.960515);2012-01-01;;;;;;;;;;;;;;;;;;;;;;;;;Compared to 2011 (63,640,300 tonnes), greenhouse gas emission in 2012 (63,251,100 tonnes) is slightly lower. If we look back on emission data of last few years, the amount of GHG emission in Kaohsiung is slightly on a down trend. The main source of GHG emission in Kaohsiung is industry sector accounting for over 80% of total amount, which makes carbon reduction works even tougher in the city. However, implementing and cooperating with the regulations of GHG control rules published by central administrative authority, Kaohsiung believes that positive results will gradually reveal soon.;;;;;;;;;;
Comune di Ferrara;36286;Italy;Ferrara;;2014;2007;Other:;"The Baseline Emissions Inventory (BEI) was created according to the methodological instrument made available by Emilia-Romagna Region, with the technical-scientific support of the ARPA (Regional Agency for the Prevention and the Environment) within the Climate Plans regional work group, in which the Municipality of Ferrara participates. 
The cognitive foundation for producing the inventory is represented by the regional inventory of greenhouse gas emissions, created by the Emilia-Romagna Region and ARPA Emilia-Romagna, according to the standard methods of estimation recognised on an international level (IPCC, CORINAIR). To construct this regional inventory, the INEMAR software was used (INventario EMissioni ARia: Air Emissions Inventory), which consists of an application system created to estimate the emissions of various pollutants, for various types of activity (e.g.: heating, traffic, agriculture and industry) and by type of fuel, according to the international classification adopted in the field of EMEP-CORINAIR inventories. Initially created by the Lombardy Region in collaboration with the Piedmont Region, INEMAR has been managed by ARPA Lombardy since 2003, and since 2006 it has been developed in the context of an inter-regional cooperation that still sees the participation of Lombardy, Piedmont, Veneto, Friuli Venezia Giulia, Emilia-Romagna, Apulia, Marche and the autonomous provinces of Trento and Bolzano.
In a suitable manual, the Emilia-Romagna Region defined, in a shared manner with the regional local bodies, the methods for the processing and breakdown at the Municipal level of the data from the regional inventory of greenhouse gas emissions from 2007, a baseline reference year.
At the Municipal level, the breakdown of emissions were then made available within a software developed by ARPA Emilia-Romagna and based on the Inventory tool LAKS, created and financed with the contribution of the financial tool LIFE of the European Community within the European Project LIFE+ ""LAKS ‐ Local Accountability for Kyoto Goals"". This software was made available to the local bodies of the Emilia-Romagna Region to draft their own Climate Plans and Sustainable Energy Action Plans (SEAP).
As envisaged by the Intergovernmental Panel on Climate Change (IPCC) Guidelines, in order to calculate emissions, the “bottom‐up” method was used, based on the sector end-use of fuels. In those cases where it was not possible to obtain accurate data, particularly concerning territorial data, a ""top-down"" approach was used, resorting to statistical processing of data aggregated at a provincial level.
The overall picture of emissions of the Terre Estensi Association was built from the emissions inventory of the individual Municipalities of Ferrara, Masi Torello and Voghiera that constitute the Association, making the sum of the contributions of the three Municipalities. In line with the agreements within the Regional Work Group on Climate Plans, the year 2007 was chosen as a baseline reference year. The classification of the sources was created in accordance with the Cartesio Guidelines, which correspond with the ICLEI Protocol and ISO 14064. Emissions were subdivided by sector (e.g.: consumption and emissions of residential buildings, transports, waste, etc.), in accordance with the categories established by the Cartesio Guidelines and eventually adapted to the specific characteristics of the territory. Overall emissions of the territory were calculated based on estimates created by ARPA Emilia-Romagna as a breakdown of the Regional Inventory INEMAR. The territorial perimeter considered for the emissions inventory of the Terre Estensi Association was made of the sum of the territories of the three member Municipalities and thus referred to the Municipal administrative confines, considering all emissions within the geopolitical confines of the area in which each of the three Municipalities has jurisdiction. Even if the local administration can only have limited influence on certain types of activities, the analysis considers all activities that can influence greenhouse gas emissions in one territory. In line with European and regional methodological indications, excluded from the analysis are all systems included within the ETS (Emission Trade System), the exchange system of active emission quotas at the European level. In turn, direct and indirect emissions are subdivided in the main sectors responsible for energy consumption and thus for generating greenhouse gases. The Sectors considered for indirect emissions concern Residential and Service Sector, Industry (non-ETS), Transport, Waste, Agriculture, Local energy production, Other sources";1582605.13;(44.8357395, 11.6189949);(41.87194, 12.56738);2007-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New York City;3417;USA;New York;C40;2014;2011;Other:;"ConEdison (ConEd) provided data on use of citywide electricity
and steam, and natural gas in the Bronx, Manhattan, and parts of
Queens. National Grid reported natural gas use data for Brooklyn,
parts of Queens, and Staten Island. The Long Island Power Author-
ity (LIPA) reported electricity use data for the Rockaways area of
Queens. Fuel oil use was provided by private fuel oil suppliers, per
Local Law 43 of 2013, which requires fuel oil providers to report
fuel oil deliveries by fuel type to the City on an annual basis. The
New York Metropolitan Transportation Council (NYMTC) provided
on-road transportation vehicle-miles-traveled (VMT) data. Energy
use data for public transit were provided by the Metropolitan
Transportation Authority (MTA) for New York City Transit (NYCT)
subways and buses, Staten Island Railway (SIR), MTA Metro-North
Rail Road (MNR) and Long Island Railroad (LIRR) commuter rail,
and MTA Bus Company buses; by the Port Authority of New York
and New Jersey (PANYNJ) for Trans-Hudson (PATH) commuter rail;
and New Jersey Transit (NJT) for its commuter rail and buses.
Data used to calculate fugitive and process CH4 and process N2O
from wastewater treatment were provided by DEP. CH4 emissions
were calculated based on the destruction of volatile material in
anaerobic digesters. Based on the measured concentration and
flow of volatile organic solids, it is estimated that 15 cubic feet of
digester gas is produced for every pound of volatile organic solids
destroyed. N2O emissions were calculated by applying the daily
nitrogen load discharged by each of the City’s 14 wastewater
treatment plant to the formula in the LGOP.

Fugitive CH4 from in-city landfills was calculated from landfill gas
collection data provided by the New York City Department of Sani-
tation (DSNY) and DEP per the LGOP. Fugitive CH4 from exported
solid waste was calculated using waste disposal figures for resi-
dential, commercial, and construction and demolition waste and
applying emissions factors from the USCP, which were taken from
EPA’s Waste Reduction Model (WARM). Fugitive CH4 from natural
gas distribution was calculated using data provided by National
Grid and ConEd. Fugitive SF6 from electricity distribution was cal-
culated using data provided by ConEd. 

All DSNY-managed municipal solid waste (residential and some
institutional solid waste) generated in New York City is exported to 
landfills by private contractor and waste-to-energy facilities by
DSNY. Fuel consumed by trains and trucks exporting solid waste
out of the city is calculated using data provided by DSNY detailing
the mass of waste transported, mode of transport, and distance
to each disposal facility. Fuel use was calculated by estimating
how many trucks and trains are needed to transport the waste,
and applying average fuel economy figures to the weighted aver-
age distance to receiving landfills.

Scope 3 aviation emissions were calculated using fuel use data
from the PANYNJ. Emissions coefficients in the LGOP were applied
to the total volume of jet fuel and aviation gasoline loaded onto
airplanes at LaGuardia and John F. Kennedy airports, as modeled
by PANYNJ using the numbers of passengers departing from each
airport during the year of analysis.

GHG emissions were calculated from all data acquired as
described using emissions coefficients in the LGOP, unless other-
wise noted. Fuel economy factors for on-road vehicles were cal-
culated as described in the Updates and Revisions section of the
Appendices. All emissions coefficients and fuel economy figures
are reported in Appendix C.";45923778.0;(40.7127837, -74.0059413);(37.09024, -95.712891);2011-01-01;;;;;;;;;;;;;;;;;;;;;;;;;"Citywide emissions changes from 2005 to 2012:
• Citywide emissions were 19 percent lower in 2012 than 2005,
almost two-thirds to the PlaNYC goal of a 30 percent reduction by 2030 (See Fig. 3)
• Reduced carbon intensity of the city’s electricity supply was
the largest driver of GHG emissions reduction, reducing GHG
emissions by more than 6.6 million metric tons (or 11 percent)
• Local economy, population, and building square footage have
grown while total energy consumption has decreased slightly
• New Yorkers reduced electricity and heating fuels use per unit
of building floor area, and reduced per capita vehicle use and
solid waste generation
• Fugitive sulfur hexafluoride (SF6) emissions from electricity
distribution decreased significantly";;;;;;;;;;
Prefeitura do Rio de Janeiro;31176;Brazil;Rio de Janeiro;C40;2014;2012;Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC) Pilot Version 1.0 (C40 and ICLEI);"We have also used a methodology developed by Centro Clima/ COPPE/UFRJ, which builds upon the guidelines from the IPCC-2006 Guide, and also considers the adaptations already incorporated in the protocols for Brazilian national communications to the UN framework on Climate Change, 2004 and 2010. The publication is called ""Comunicação Nacional Inicial do Brasil à Convenção-Quadro das Nações Unidas sobre Mudanças no Clima"", Ministério da Ciência e Tecnologia, Brasília. 

In relation to the tiers utilized, those were dependant on the availability of data for each source of emissions. The same applies to emissions factors that, as much as possible, were obtained locally. In their absence, the priority for utilization of this information followed this hierarchical criteria:
a) national values, as provided by the national communications of Brazil;
b) values acquired through the specialized literature in Brazil;
c) default values as provided by the IPCC-2006. 

We measured the values of carbon dioxide, methane and nitrous oxide in the city for 2012. 

Global Warming Potential was based on the values established on the fourth IPCC (AR-4) in 2007: 21 for CH4 and 310 for N20.";20758240.0;(-22.9054389, -43.5614471);(-14.235004, -51.92528);2012-01-01;;;;;;;;;;;;;;;;;;;;;;;;;"The emissions have increased for the following reasons:
- growth in GDP and increased economic activity in the city due to the proximity to the World Cup in 2014 and Olympic Games in 2016.
- the city is undergoing major infrastructural changes, with heavy investments in transportation and urban remodelling, which increases the number of public works;
- increase in the usage of thermal energy due to federal policy;
- increase in the consumption of gasoline, due to a) federal direct tax subsidies to petrol, b) federal tax exemptions for the purchase of new automobiles and c) elevation of income in Rio
- increase in car fleet
- crisis in the production of ethanol nationwide, leading to the consumption of more gasoline.
- establishment of Thyssenkrup CSA , an industrial plant that produces iron ore, and which is not yet working at its full potential (that will happen in 2016). It is one of the most modern plants in the world and with lowest carbon impact in the steel sector. It produces its own electricity and sells the excess to the grid.  
In 2012 TKCSA produced 8.8Mt CO2 of gross GHG emissions (scope 1), whereas net emissions (difference between net and avoided emissions) were estimated in 6.3 million of metric tonnes of CO2, which produced 3.5 million metric tonnes of iron ore, according to CSA reports. TKCSA represented 80% of increases in city emissions from 2005 levels.
- Additionally, Rio has one of lowest emissions rate per capita among large metropolises in the world (3,5 tons per capita).";;;;;;;;;;
Seoul Metropolitan Government;31187;South Korea;Seoul;C40;2014;2011;2006 IPCC Guidelines for National Greenhouse Gas Inventories;"1) Additional Protocols: 
- Guidelines For Local Government Greenhouse Gas Inventories.,  Korea Environment Corporation, 2010
- ISO 14064-1 (Specification with guidance at the organizational level for quantification and reporting of greenhouse gas emissions and removals)

2) Calculation: 
Considering 2006 IPCC G/L as standard methodology, Seoul has applied domestic activity and basic Emission Factors of the guideline for calculation as well as basic city data (energy consumption, waste, etc.). Emissions of 6 major greenhouse gases (CO2, CH4, N2O, HFCs, PFCs, SF6) stated in the Kyoto Protocol were calculated and Seoul applied Global Warming Potentials (GWPs) from the second Assessment Report from the IPCC. 

3) Classification of emission source: 
In large, the classification is based on the 2006 IPCC G/L classification system but the categories were integrated or specified according to the characteristics of the city of Seoul. Based on the range of Seoul's authority, emission sources were classified into Scope 1 (Direct emission) and Scope 2 (Indirect emission), in accordance with the local GHG calculation guidelines.  

4) Measurement: 
Activities are collected from the official statistics of the national government and are used as activity for calculation of greenhouse gas emissions by sector. Official statistics provided by the national government are released every year and include oil statistics, electricity statistics, and chronology regional energy statistics. Emission calculations such as Emission Factor, are mainly based on the IPCC Guideline.
(Example: Emissions from energy sector = Fuel consumption (TJ) × Fuel emission factor (kgGHG/TJ)";49008230.0;(37.566535, 126.9779692);(35.907757, 127.766922);2011-01-01;;;;;;;;;;;;;;;;;;;;;;;;;GHG emission quantity in energy industry was reduced by 1,440tCO2eq year on year, especially contributed by the reduction in indirect emission in electricity.;;;;;;;;;;
Jakarta City Government;31166;Indonesia;Jakarta;C40;2014;2005;2006 IPCC Guidelines for National Greenhouse Gas Inventories;"Identify GHG emissions from potential sector, such energy using, transportation, solid waste, waste water, and industrial.
Inventory GHG emissions and transportation as potential source.
Identify mitigaton action through define criteria and scoring


Method of calculation:Emission / absorption of GHG = AD x EF

AD: The data generated from the construction activities and human activities
EF: The amount of emissions per uptake per unit";43860000.0;(-6.2087634, 106.845599);(-0.789275, 113.921327);2005-01-01;;;;;;;;;;;;;;;;;;;;;;;;;"- Commitment to Reduce the Greenhouse Gas Emissions 

- Jakarta’s commitment to reduce greenhouse gas     emissions, the target to cut emissions by 30% by 2030  will be applied. The greenhouse gas emisions target is based upon the base line of emision in 2005, which was 34,67 million tons of CO2e and the emisions projection for 2030 (if we were continue with “BAU=Business As Usual”) of 117.45 million tons of CO2e.  

Based on this prediction, the 30% reduction would need to be   approximately 35,24 million tons of CO2e / year. To support the reduction commitment, the following  mitigation strategies will be applied:

Implement energy savings and increase the utilization of environmentally-friendly alternative energy. 

Improve emissions control of moving and unmoving sources";;;;;;;;;;
Village of Kadiovacik;35755;Turkey;Kadiovacik;;2014;2013;2006 IPCC Guidelines for National Greenhouse Gas Inventories;The worksheets (calculation tools) of green house gas protocol are used to calculate CO2 emission.;467.45;(38.3434574, 26.553613);(38.963745, 35.243322);2013-01-01;;;;;;;;;;;;;;;;;;;;;;;;;"Photovoltaic panels
LED bulbs
decrease in fuel usage";;;;;;;;;;
Municipality of Recife;35872;Brazil;Recife;;2014;2012;International Emissions Analysis Protocol (ICLEI);"In the first Inventory of GHG Emissions of Recife emissions of carbon dioxide ( CO2 ) , nitrous oxide ( N2O ) and methane ( CH4 ) , issued within the limits of the municipality during the year 2012 were recorded . The greenhouse gas emissions was performed for each type of GHG and converted paw tons of CO2 equivalent ( CO2e ) according to the global warming potentials below:
• Carbon dioxide ( CO2 ) = 1 CO2e ;
• Methane ( CH4) CO2 e = 21 ;
• Nitrous oxide ( N2O ) = 310 CO2e .
The methodological approach used in the collection and storage of data was based on the International Protocol for Analysis of Emissions ( EIPA ) . The EIPA Protocol was launched in 2009 by ICLEI in order to promote a specific analysis methodology for local governments , detailing emissions at two levels : government and community.
For purposes Rapporteur , the First Emission Inventory of Greenhouse Effect is according to Global Protocol for Communities ( GPC ) , thus the results presented in this paper goes against this global initiative , providing the opportunity for methodological harmonization with other cities around the world .";1883.0;(8.3127386, -62.7284414);(-14.235004, -51.92528);2012-01-01;;;;;;;;;;;;;;;;;;;;;;;;;This is our first inventory.;;;;;;;;;;
Comune di Napoli;36158;Italy;Naples;;2014;2005;Other:;;2913435.0;(40.8419943, 14.2513831);(41.87194, 12.56738);2005-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mexico City;31172;Mexico;Mexico City;C40;2014;2012;Other: Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC) pilot Version 1.0 (C40 and ICLEI), IPCC Guidelines for National Greenhouse Gas Inventories published in 2006 and IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories, published in 2000.;Quality Assurance/Quality Control. Activities include calculations revision, data management, verification procedures and uncertainties calculation.;24551216.0;(19.4326077, -99.133208);(23.634501, -102.552784);2012-01-01;;;;;;;;;;;;;;;;;;;;;;;;;"Emissions from transportation sector are 8% lower due to a reduction of vehicles in the fleet.

The data base for industrial facilities was updated.";;;;;;;;;;
Comune di Bologna;36274;Italy;Bologna;;2014;2009;2006 IPCC Guidelines for National Greenhouse Gas Inventories;Sustainable Energy Action Plan Guide Line;2270524.7;(44.4856087, 11.3547975);(41.87194, 12.56738);2009-01-01;;;;;;;;;;;;;;;;;;;;;;;;;Main cause is the economic crisis, secondary are actued mitigation actions;;;;;;;;;;
City of Miami;35870;USA;Miami;;2014;2006;Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC) Pilot Version 1.0 (C40 and ICLEI);For community data, City specific data was used where available, such as utility provided records. If City specific data was not available, relevant values were extrapolated by population ratios from County or State data.;4762364.27;(25.7890972, -80.2040435);(37.09024, -95.712891);2006-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
City of Burlington;2430;USA;Burlington;;2014;2010;Other: US Community Protocol for Accounting and Reporting;The City of Burlington collects emissions data in an Excel-based GHG Inventory Modeling Workbook developed and populated with the help of an environmental consultant.  Electricity data comes from the Burlington Electric Department. Natural gas data is provided by Vermont Gas. To generate transportation data, staff input miles per functional class and average annual daily traffic into CACP Transport Assistant Tool to obtain vehicle miles traveled by functional class and total emissions. The calculation of the community solid waste adds the total CSWD municipal solid waste and construction and demolition debris, then multiplied it by the Burlington population over the CSWD population.;287535.99;(44.4758825, -73.212072);(37.09024, -95.712891);2010-01-01;;;;;;;;;;;;;;;;;;;;;;;;;No additional inventory analysis has been completed since last reporting period.;;;;;;;;;;
Municipality of Curitiba;31156;Brazil;Curitiba;C40;2014;2008;2006 IPCC Guidelines for National Greenhouse Gas Inventories;;3028301.0;(8.309021, -62.7288829);(-14.235004, -51.92528);2008-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comune di Piacenza;36495;Italy;Piacenza;;2014;1990;Other: Sustainable Energy Action Plan;"The SEAP consists of two parts:

1. The emissions inventory base (EIB), which provides information about the energy consumption of the township, on current and future CO2 emissions, calculated using the conversion factors listed in the guidelines of the European Commission, quantifies the amount of CO2 down, identify problems and opportunities for sustainable energy development of the territory and potential in relation to the exploitation of renewable energy sources.

Year taken as reference for calculations is 1990, in which the total CO2 emissions in the municipality of Piacenza amounted to 615,452 tons.

Following the guidelines of the EU total emissions have been separated the quantities resulting from industrial / commercial and the relative proportion of mobility on the same highway as Admiral. The Town Council has no direct powers. Therefore, emissions from sectors which Admiral. They can hack through their regulatory instruments / regulations and their initiatives / incentives (Municipality as Consumer, Construction and Urban Planning, Mobility and Transport, Agriculture and Forestry, Waste Management, Strategic Planning, Communication and Information) amounted to 284,462 tons., as the basis on which to calculate the amount to be cut down to move in 2020 to a value of at least 20% lower than in 1990.

In 2020, CO2 emissions from the sectors mentioned above correspond without corrective action to 338,259 tons. The set of actions that will be put in place will generate savings of 111,926 tons to 226,333 tons, bringing this value. equal to the value of 1990 decreased by 20.4%. Also in the SEAP were also included actions whose effects can not be quantified in terms of numbers but will also contribute to the achievement / improvement of the result.

2. The Action Plan (SEAP), which identifies a set of actions that the Administration intends to pursue in order to achieve the CO2 reduction defined in the EIB.

The Action Plan is the instrument through which the municipality intends to achieve the goal of reduction of 111,926 tons. CO2 emissions in 2020.

E 'was structured by defining n. 8 sectors of intervention for each specific actions are identified (n. 25) outlined in tabs that slope down detailed rules for implementation and the resources that the Town Council intends to put in place.";615452.0;(45.0519969, 9.6926451);(41.87194, 12.56738);1990-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Government of Hong Kong Special Administrative Region;31169;Hong Kong;Hong Kong;C40;2014;2010;2006 IPCC Guidelines for National Greenhouse Gas Inventories;"The GHG inventory has been developed based on the relevant decisions of Conference of Parties of the UNFCCC and using internationally agreed and adopted methods, including the 2006 IPCC Guidelines for National Greenhouse Gas Inventories.

The 2006 IPCC Guidelines for National Greenhouse Gas Inventories contain the latest calculation methodologies adopted internationally to compile complete, national inventories of greenhouse gases.";41500000.0;(22.2880809, 114.1398015);(22.396428, 114.109497);2010-01-01;;;;;;;;;;;;;;;;;;;;;;;;;Hong Kong's GHG emission recorded a small decrease of 1.9%, from 42.3 million tonnes CO2e in 2009 to 41.5 million tonnnes CO2e in 2010, mainly due to increase in the share of natural gas use for local electricity generation.;;;;;;;;;;
City of Copenhagen;31009;Denmark;Copenhagen;C40;2014;2012;Other: National Danish Carbon Emissions methodology for municipalities;"The methodology used provides an inventory of greenhouse gases at the municipality level, divided into sectors. The sectors are similar to those used for the official Danish emission inventory (IPCC sectors), and include; collective power and heating, Indivitual heating, Mobile sources, Tranportation and machinery, Incustrial processes, Solvents, Agriculture, Land use, and waste depositing and wastewater.

Simplified generalizations of the equations used for emission calculations are used. These are based on the assumption that emissions of a given activity can be estimated using data descriptive for the size of the activity multiplied by an emission factor pr unit or activity. That is, the inventory is primarily based on scope-2 data on heat and power consumption and scope-1 data on road traffic.

The method includes CO2-, CH4- and N2O-emission in the inventory.

As for the national inventories the calculation is built into several levels (Tiers) with increased requirements for municipalities regarding data quality. Each municipality may use different tiers for different sectors depending on the data available.

Tier 1 is mainly based on the Danish natinoal greenhouse gas inventory data using appropriate distributino keyw, in most cases the municipality's share of total population, for a given activity into municipality level.

Tier 2 is more detailed and includes emission factors used in the Danish national greenhouse gas inventories, while municipalities use their own activity data.

At Tier 3, which is the most detailes level; municipalities use municipality specific emission factors and activity data.";1958886.0;(55.6760968, 12.5683371);(56.26392, 9.501785);2012-01-01;;;;;;;;;;;;;;;;;;;;;;;;;"The CO2-emissions from the City of Copenhagen in 2012 was 6% lower than the emissions in 2011. The reduction in the emissions is primarily caused by more wind power i the power production in Copenhagen and in Denmark in general. 

For Denmark as a whole, one kilowatt-hour of electricity emitted an average of almost 16% less CO2 in 2012 than in 2011, and almost 34% less than in 2005. This drop is partly attributable to higher wind production as well as more use of biomass in combined heat and power production.

There has also been a fall in electricity consumption in Copenhagen of about 2% compared with 2011.

Finally, Carbon emissions from traffic have also dropped slightly compared with 2011.";;;;;;;;;;
Seixal;50667;Portugal;Seixal;;2014;2007;International Emissions Analysis Protocol (ICLEI);;415526.0;(-23.4266216, -46.5828767);(39.399872, -8.224454);2007-01-01;;;;;;;;;;;;;;;;;;;;;;;;;They decreased due to the implementation of the measures of the Action Plan for Sustainable Energy (PAES);;;;;;;;;;
City of St Louis;35393;USA;St. Louis;;2014;2010;International Emissions Analysis Protocol (ICLEI);This inventory was conducted using processes developed by ICLEI for their Cities for Climate Protection Program.  ICLEI provided an Excel-based Master Data Workbook to aid with the data organization.  Data was then entered into ICLEI’s emissions-calculating software, Clean Air-Climate Protection (2009) version 3.0 (CACP).  CACP is the primary tool used by local governments in the United States to conduct greenhouse gas emissions inventories.  Prior to data entry into CACP, some coefficients must be manually entered.  This inventory used a list of published electricity emissions factors by EPA’s Emission and Generation Resource Integrated Database (eGRID) for region SERC Midwest for 2005, and the North American Electric Reliability Corporation (NERC) electricity factors for criteria air pollutants for 2005 for the region represented by map number 04.;7506359.0;(38.6270025, -90.1994042);(37.09024, -95.712891);2010-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tokyo Metropolitan Government;31111;Japan;Tokyo;C40;2014;2011;Other: The Guidline set by Japanese Ministry of Environment;"Basically we follow a guideline set by the Ministry of Environment, which is called the ""Guideline for local governments about establishing local climate change action plans"". However, if there are new international or domestic methods which are more applicable, we use those methods too.

-Targets of calculations are CO2, CH4, N2O, HFC, PFC, SF6 and NF3.
-We calculate CO2 equivalent amount of emission for each gas by multiplying the amount of each emission by its global warming potential.
-Emissions are calculated by economic sectors: Residential, Commercial, Industrial and Transportation.
-Indirect CO2 emissions from consumption of purchased electricity are also included.
-Concerning emissions from trains, ships, and airplanes, we calculate them within the geographic boundary of TMG conforming to the international rule.";64770000.0;(35.6896342, 139.6921007);(36.204824, 138.252924);2011-01-01;;;;;;;;;;;;;;;;;;;;;;;;;"The deterioration of electricity emission factor.
from 0.377 kg-CO2/kWh of FY 2010 to 0.461 kg-CO2/kWh of FY 2011 (approx. 28% worsened)";;;;;;;;;;
Prefeitura de São Paulo;31184;Brazil;São Paulo;C40;2014;2003;2006 IPCC Guidelines for National Greenhouse Gas Inventories;;15115000.0;(-23.5505199, -46.6333094);(-14.235004, -51.92528);2003-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
