City Name,Account No,Country,City Short Name,C40,Reporting Year,Primary Methodology,Methodology Details,Accounting Year,Total City-wide Emissions (metric tonnes CO2e),Reason for Increase/Decrease in Emissions,Further Information,City Location,Country Location
"City of Portland, Oregon",14874,USA,Portland,C40,2013,Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC) Pilot Version 1.0 (C40 and ICLEI),"Portland and Multnomah County gather data on carbon emissions to inform policy and programmatic decisions and to monitor overall progress toward emission goals. In general, the methodology follows guidelines developed by ICLEI — Local Governments for Sustainability and uses the Clean Air and Climate Protection software developed jointly by ICLEI and STAPPA/ALAPCO.
 
This inventory is for all of Multnomah County. The City of Portland is 79% of Multnomah County by population. The inventory includes all emissions associated with electricity, natural gas, fuel oil (distillate and residual), propane, gasoline, diesel and solid waste disposal. These sources are discussed in further detail below.

Electricity is provided to customers in Multnomah County by Portland General Electric (PGE) and Pacific Power (PP). Both PGE and PP provide data on the number of kilowatt-hours (kWh) sold to their distribution customers in each of three sectors: residential, commercial and industrial. Because these total numbers include sales of “green power” (i.e., power generated from sources that do not emit carbon emissions) to customers who have elected to purchase such power, these numbers are adjusted to determine how many kWh were sold to customers in Multnomah County from the utilities’ standard sources. To calculate the carbon emissions from grid power, the inventory uses emission factors provided by ICLEI for the Northwest Power Pool of the Western Electricity Coordinating Council.

NW Natural, the sole natural gas utility for Multnomah County, provides data on the total therms used in the county by the residential, commercial and industrial sectors. The carbon emissions attributable to natural gas usage are calculated by multiplying the total number of therms by the conversion factor provided by ICLEI for converting therms to CO2-e. 

Fuel oil data are taken from the U.S. Energy Information Administration’s “Annual Fuel Oil and Kerosene Sales Report” contained in the Petroleum Supply Annual (EIA Report), which publishes data on the sales in Oregon of heating oil, propane and kerosene. Figures are broken down in the three residential, commercial and industrial customer classes. In the absence of more specific information about usage in Multnomah County, the inventory assigns the county a share based on the percent of Oregon’s population living in Multnomah County. ICLEI provides conversion factors for carbon emissions associated with each of these heating fuels. The carbon emissions from these fuels attributable to Multnomah County are calculated by multiplying the total amount of each fuel by the applicable conversion factor.

Emissions from gasoline are calculated based on the number of gallons of gasoline sold in Multnomah County. The State of Oregon, which collects a county gas tax on behalf of Multnomah County, issues quarterly reports detailing the total gallons of gasoline sold in the county. Gasoline sales provide an imperfect measure, since clearly some people who drive in Multnomah County purchase gasoline outside of the county while others purchase it in the county but drive elsewhere. 

The EIA Report contains data for the sales in Oregon of diesel fuel and certain other transportation fuels used for rail, shipping, on-highway use, military uses and off -highway use. Because of the interstate and international character of air, rail and shipping, ICLEI recommends not attributing fuel used by these modes to a given locality, and the inventory excludes these. The inventory allocates to Multnomah County a share of Oregon’s total sales of diesel for on-highway and construction use according to population. 

Metro, the regional government for the Portland area, operates the solid waste transfer stations serving Multnomah County and provides data on the total tonnage of materials landfilled each year from the Metro region. The inventory assigns a share of the total tonnage to Multnomah County based on the percent of Metro population that is in Multnomah County. The Oregon Department of Environmental Quality (DEQ) conducts studies to determine the composition of waste in Oregon landfills. Thus, it is possible to estimate the composition of waste buried in landfills that are attributable to Multnomah County.

Some landfills capture methane gas and flare it. For each landfill that receives waste from Metro, DEQ provides an estimate of the percentage of methane captured. Using ICLEI’s Clean Air and Climate Protection software, and based on the Metro tonnage data, DEQ waste composition studies and estimates of methane recapture rates, the inventory estimates the total amount of methane generated at landfills that is released into the atmosphere. Landfill emissions included in the inventory reflect the cumulative future methane emissions that can be expected from waste disposed in a given year, as opposed to the amount of actual methane emissions from landfills in that year.",2011-01-01 - 2011-12-31,7773812,"Portland and Multnomah County emissions increased by 1.6% from 2010. Overall emissions have declined since 1990, currently at -8.5% below 1990 levels. The increase from 2010 can largely be accounted for by increased use of electricty and natural gas from all sectors, in part as a result of a colder winter. Residential electricity use increased by about 1%, commercial by about 0.6% and industrial usage increased by 1.6%. Natural gas usage increased in all  three sectors, but primarily in the residential sector. However, total natural gas usage is still below 2008 levels. For transportation fuels, gasoline usage declined by 4%, but diesel fuel usage increased by 1%. Overall other fossil fuel usage increased by 12% from 2010, primarily driven by growth in the industrial sector.",,"(45.5234515, -122.6762071)","(37.09024, -95.712891)"
Ville de Montreal,35894,Canada,Montreal,,2013,"Other: 2006 IPCC Guidelines for National Greenhouse Gas Inventories AND Guide d'inventaire des émissions de gaz à effet de serre d'un organisme municipal (MDDEP, 2009)","Consumption data, for electrical and natural gas energy sources, were provided by the source suppliers (Hydro-Québec and Gaz Métro, respectively) for residential, commercial, institutional and industrial sectors. 

Oil and wood consumption values for residential, commercial, and institutional sectors were estimated using available provincial data.

Industrial GHG emissions data relating to energy sources other than electricity and natural gas, as well as emissions stemming from industrial processes, were available from Montreal’s Division du contrôle des rejets industriels, which has compiled these data for more than 20 years. 

Montreal’s transportation related GHG emissions were extracted from the provincial GHG inventory.  These were calculated, for each type of emitter, according to the proportion of provincial licence plates registered within the agglomeration’s political boundaries.  

Landfill emissions were quantified using LandGEM (Landfill Gas Emissions Model), an established quantification tool developed by the USEPA.",2009-01-01 - 2009-12-31,13722942,"This is the first time that the community GHG inventory has been calculated with this specific methodology. Consequently, an accurate comparison with the previous year is not possible.",,"(45.5086699, -73.5539925)","(56.130366, -106.346771)"
Comune di Venezia,36254,Italy,Venezia,C40,2013,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Our BEI (Baseline Emission Inventory) has been made following Covenant of Mayrs Guide Lines.,2005-01-01 - 2005-12-31,1418344,We know that the emissions in the residential and tertiary sector increased every year until 2005. this is normally due to an increase of electricity consumption by progressive installation of air conditioning systems.,"We took into account all emissions due to residential, tertiary, public lighting and transport/mobility sectors. We have included Port and airport as tertiary structures but excluded flights and ships. We took into account emissions from large ships in the port stops because there is specific action for cold ironing related to the reduction of these emissions. We could'nt take into account railways because of the lack of data. All data were calculated with bottom up approach using data from actual consumption with the exception of those due to the ships stops, which were extracted from a study of ARPAV.","(45.4408474, 12.3155151)","(41.87194, 12.56738)"
Comune di Piacenza,36495,Italy,Piacenza,,2013,Other: Sustainable Energy Action Plan,"The SEAP consists of two parts:

1. The emissions inventory base (EIB), which provides information about the energy consumption of the township, on current and future CO2 emissions, calculated using the conversion factors listed in the guidelines of the European Commission, quantifies the amount of CO2 down, identify problems and opportunities for sustainable energy development of the territory and potential in relation to the exploitation of renewable energy sources.

Year taken as reference for calculations is 1990, in which the total CO2 emissions in the municipality of Piacenza amounted to 615,452 tons.

Following the guidelines of the EU total emissions have been separated the quantities resulting from industrial / commercial and the relative proportion of mobility on the same highway as Admiral. The Town Council has no direct powers. Therefore, emissions from sectors which Admiral. They can hack through their regulatory instruments / regulations and their initiatives / incentives (Municipality as Consumer, Construction and Urban Planning, Mobility and Transport, Agriculture and Forestry, Waste Management, Strategic Planning, Communication and Information) amounted to 284,462 tons., as the basis on which to calculate the amount to be cut down to move in 2020 to a value of at least 20% lower than in 1990.

In 2020, CO2 emissions from the sectors mentioned above correspond without corrective action to 338,259 tons. The set of actions that will be put in place will generate savings of 111,926 tons to 226,333 tons, bringing this value. equal to the value of 1990 decreased by 20.4%. Also in the SEAP were also included actions whose effects can not be quantified in terms of numbers but will also contribute to the achievement / improvement of the result.

2. The Action Plan (SEAP), which identifies a set of actions that the Administration intends to pursue in order to achieve the CO2 reduction defined in the EIB.

The Action Plan is the instrument through which the municipality intends to achieve the goal of reduction of 111,926 tons. CO2 emissions in 2020.

E 'was structured by defining n. 8 sectors of intervention for each specific actions are identified (n. 25) outlined in tabs that slope down detailed rules for implementation and the resources that the Town Council intends to put in place.",1990-01-01 - 1990-12-31,615452,,,"(45.0473754, 9.6865813)","(41.87194, 12.56738)"
City of Burlington,2430,USA,Burlington,,2013,US Community Protocol for Accounting and Reporting,"The City of Burlington collects emissions data in an Excel-based GHG Inventory Modeling Workbook developed and populated with the help of an environmental consultant.  Electricity data comes from the Burlington Electric Department. Natural gas data is provided by Vermont Gas. To generate transportation data, staff input miles per functional class and average annual daily traffic into CACP Transport Assistant Tool to obtain vehicle miles traveled by functional class and total emissions. The calculation of the community solid waste adds the total CSWD municipal solid waste and construction and demolition debris, then multiplied it by the Burlington population over the CSWD population.",2010-01-01 - 2010-12-31,287535.99,Community-wide VMT increased from the baseline year (2007) to the last year for which data was collected (2010).,,"(44.4758825, -73.212072)","(37.09024, -95.712891)"
City of Toronto,31117,Canada,Toronto,C40,2013,Other: The International Basic Standard for Community-Scale GHG Emission Inventories (ICLEI/C40/WB),"Currently, Toronto’s emissions calculations focus on our major emissions sources – energy (heating and cooling), transportation (mobile sources), and waste.

a. Energy Heating and Cooling:
The City of Toronto’s emissions factors for electricity and natural gas are updated annually and based on the National Inventory Reports (Environment Canada); however, the City of Toronto adds a 10% transmission loss to the NIR figure. Additionally, data is acquired from Toronto Hydro and Enbridge Gas on the electricity and natural gas consumption of the entire city, including residential, industrial, commercial, institutional etc...

b. Transportation: 
Data are collected and standardized only for car and truck traffic through the City using four main sources: 
-truck traffic counts of over 2,000 intersections throughout the city from the City of Toronto’s Transportation Services Division
-accumulated traffic count data from years 1987 to 2009 from the City of Toronto’s Transportation Services Division
-the number of Ministry of Transportation registered vehicles in the City, and;
-a Canadian standard developed by a Canadian consultant

The above traffic data is then used to calculate “vehicle kilometers traveled” (VKT) and the EPA’s Mobil 6.2 software is used to calculate total emissions from mobile sources.

c. Waste: 
Tonnages of waste and approximate waste compositions are used in mass balance equations in the calculation of emissions from landfills.",2011-01-01 - 2011-12-31,20662821.41,"Emissions reported in 2011 have decreased when compared to 2008 emissions, mostly due to the Province of Ontario closing down their coal fired electricity generated plants.  Additionally, an increased reliance on the use of gas fired electricity plants and renewable source of energy have played a contributing factor.","Data management:
-spreadsheets
-STAPPA/ALAPCO and ICLEI Clean Air and Climate Protection Software (developed by Torrie Smith Associates)
 
Data Collection:
-traffic counts on city roads and city-owned highways
-Ministry of Transportation (provincial) traffic counts and breakdowns
-public transportation schedules
-local utility data - electricity (Toronto Hydro)
-local utility data - gas (Enbridge)
-waste data - household diversion and waste","(43.653226, -79.3831843)","(56.130366, -106.346771)"
City of Chicago,3203,USA,Chicago,C40,2013,Other: 2007 eGRID and 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Several protocols for estimating GHG emissions were used to prepare the 2010 Regional GHG Inventory, as no standard protocol for the development of local or regional community-wide inventories currently exists. ICLEI ‘s community inventory protocol which was not released at the time of the inventory may be utilized for future updates to the Chicago Region’s emissions inventory. These GHG protocols used in the 2010 Regional GHG Inventory are listed below, and were applied to each sector, as relevant and as discussed below for each emissions sector. 

The LGOP for Greenhouse Gas Assessments developed by ICLEI, CAR, TCR and CARB (California Air Resources Board 2010a): This protocol includes methods for estimating emissions resulting from government buildings and facilities, government fleet vehicles, wastewater treatment and potable water treatment facilities, landfill and composting facilities, and other operations. This protocol was developed primarily for use by California local governments; although it contains methodologies for estimating emissions pertinent to community emissions sources. Further, this protocol can be modified for use outside of California, although in some cases, data sources or other references may need to be modified accordingly to local conditions or constraints.

The USEPA Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990–2007 (U.S. Environmental Protection Agency 2009a): The national inventory documentation includes standard methodology and emission factors for nationwide GHG emissions inventorying. 

The IPCC Guidelines for National Greenhouse Gas Inventories (Intergovernmental Panel on Climate Change 2006a): This document is the international standard for inventories and provides much of the baseline methodology used in the national and statewide emission inventories. 

The GHG Protocol Corporate Standard developed by WRI and the WBCSD (World Resources Institute 2004): Although this is a protocol designed for use primarily by private corporations, it was one of the first documents to establish the principles and steps to developing a GHG inventory. This document has influenced the development of other types of GHG protocols, including those for municipal, government, and community-wide emissions.

Emissions are commonly divided into three categories or “scopes”, as follows (World Resources Institute 2004):
Scope 1: Direct GHG emissions, such as emissions from combustion of natural gas or in vehicles, where the emission occurs directly at the activity causing the emission.
Scope 2: Indirect GHG emissions, such as emissions associate with the consumption of electricity due to power plant emissions or methane emissions at a landfill that receives waste, where the emissions occur at a location separate from the activity causing the emission.

Scope 3: All other indirect emissions not covered in Scope 2 that are not owned or controlled by the reporting jurisdiction, such as the emissions resulting from the extraction and production of purchased materials and fuels.
The 2010 Regional GHG Inventory includes Scope 1 and 2 emissions (World Resources Institute 2004), including all direct and indirect emissions; Scope 3 emissions are not included.",2010-01-01 - 2010-12-31,33545577,"Greenhouse gas emissions in Chicago in 2010 were 8% lower than 2005, excluding inventory methodology changes. (Please note that Chicago completes an emissions inventory every five years, hence the reason we are comparing 2005 and 2010..) The key causes, in order of importance, are as follows: changes to less carbon intensive sources of electricity; a decrease in population; a long term decline in residential natural gas use, (due to a combination of more efficiency use, housing turnover, and long term price trends); residential and commercial building retrofits; minor weather differences between the two years; and, a small decline in employment. Additional details are uploaded as an attachment.",,"(41.8781136, -87.6297982)","(37.09024, -95.712891)"
City of Zaragoza,46473,Spain,Zaragoza,,2013,,"EMISIONES DE CO2 DIRECTAS E INDIRECTAS (los datos no se refieren a CO2 equivalente). Se hacen constar los datos correspondientes a 2011 por no estar todavía disponibles los correspondientes a 2012.
Se ha establecido una metodología sencilla basada en los datos directos de consumo de combustibles en  la ciudad facilitando de este modo la actualización anual de las emisiones.
Los datos de consumo directo de combustibles son proporcionados cada año, directamente, por los canalizadores en los casos de  electricidad, gas natural y combustibles líquidos mientras que son estimados en el caso de los GLP, a partir de los datos de las distribuidoras.
Para los cálculos se utilizan los factores de emisión calculados a partir de los datos del informe del Inventario Nacional de Emisiones del Ministerio de Agricultura, Alimentación  y Medio Ambiente (MAGRAMA), en el caso de las emisiones directas, y los proporcionados por la Comisión Nacional de la Energía (CNE) para las emisiones debidas al uso de la electricidad.",2011-01-01 - 2012-01-01,3336447,"El resultado se acerca al objetivo establecido en la Estrategia para la mitigación del Cambio Climático y la mejora de Calidad del Aire de Zaragoza, la disminución del 10 % de la emisión de CO2 por habitante, con un 6,87 %. 
Hay que tener en cuenta el destacado aumento de las emisiones debidas a la aviación y el hecho de que con esta metodología se contabilizan sectores no incluidos en los inventarios anteriores como el ferrocarril. 
Las emisiones de CO2 más bajas se dan en los años 2009 y 2010 debido, sobre todo, a la disminución de las emisiones indirectas, las debidas al uso de electricidad. En estos dos años las características meteorológicas condicionaron una mayor aportación de energías renovables al mix energético nacional en detrimento del uso del carbón, lo que hace que los factores de emisión sean más bajos. La menor aportación de la energía hidráulica derivada de la situación de sequía hace que los factores de emisión vuelvan a valores más altos en 2011 aumentando las emisiones pese a la disminución del consumo energético.",,"(41.6488226, -0.8890853)","(40.463667, -3.74922)"
City of Cleveland,35859,USA,Cleveland,,2013,US Community Protocol for Accounting and Reporting,"This inventory was assembled through the collection and analysis of data with City of Cleveland staff as well as other city stakeholders such as utilities, regional coordinating agencies, local organizations and large emitters. Associated GHG emissions for all activities were calculated using an approach consistent with the International Council for Local Environmental Initiatives (ICLEI) - U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI) as the main guiding document, with methodologies from The Climate Registry (TCR), the World Resources Institute (WRI), the Intergovernmental Panel on Climate Change (IPCC), and the U.S. Environmental Protection Agency (EPA) also referenced. 

Tools - Inventory Management System:
Most of the calculations used to develop this inventory were carried out in an Information Management System (IMS), a Microsoft Excel-based spreadsheet that collects into one tool the original data, methodology applied, emission factors selected and a summary of GHG emission results. The IMS also provides charting, forecasting and benchmarking capabilities

Additional Notes:

> Scope 1 emissions includes stationary combustion and industrial process related emissions reported by some of the large emitters in the city. Direct fuel consumed numbers are not available for these emitters.
> Emissions associated with electricity generation plants is included under Scope 2 as indirect  emissions, except electricity consumed numbers reported from Rail transit under Scope 1 emissions.
 > Only fuels consumed that were inventoried under Scope 1 emissions have been reported in C1.7",2010-01-01 - 2010-12-31,12892686,Not Applicable. 2010 Baseline Inventory that’s being reported is our 1st comprehensive GHG inventory.,,"(41.49932, -81.6943605)","(37.09024, -95.712891)"
New York City,3417,USA,New York City,C40,2013,US Community Protocol for Accounting and Reporting,"Information reported to CDP is consistent with New York City's greenhouse gas inventory published in December 2012. At time of publication of this protocol, the ICLEI U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions was still in draft form. However, the City used the guidance of this draft document, where applicable, and any deviation from this standard was noted in this report. Of note is the recommended inclusion of scope 3 emissions from solid waste deposited in landfills outside of the city's geopolitical border, which is included in the city's total GHG emissions estimates. New York City also used custom emissions coefficients for electricity and steam.",2011-01-01 - 2011-12-31,53358868,"A number of factors combined to reduce the city's community GHG emissions 3.3% below 2010 levels in 2011. Less carbon-intensive electricity supply resulting from lower natural gas prices was the principal driver, followed by milder weather, reduced vehicle use, and reduced solid waste generation.","QUESTION C1.4 INCLUDES SCOPE 3 EMISSIONS FOR EXPORTED SOLID WASTE, PER THE ICLEI US COMMUNITY PROTOCOL - THIS QUESTION NEEDS TO BE AMENDED TO ALLOW FOR THIS. THE VALUE IS OUR ""TOTAL"" EMISSIONS","(40.7127837, -74.0059413)","(37.09024, -95.712891)"
Ayuntamiento de Madrid,31171,Spain,Madrid,C40,2013,Other: See answer C1.3,"EMEP (Cooperative programme for monitoring and evaluation of the long-range transmission of air pollutants in Europe)-CORINAIR METHODOLOGY harmonized with IPCC.

The municipal emissions inventory takes into account the six main GHG (carbon dioxide, methane, nitrous oxide, hydrofluorocarbons, perflurocarbons and sulphur hexafluoride) and other major air pollutants considered in the methodology (heavy metals, particles, SO2, NOx, NMVOCs,CO,NH3, POPs) that could also have an indirect effect on climate change due to gaseous chemical reactions (ozone production).",2010-01-01 - 2010-12-31,12039000,Due to a slight  decrease in the use of petroleum-by products   and to a reduction of Greenhouse Gas Emissions  in the Spanish electricity mix (Electricity generation from renewable sources has been increased at national level in recent years),,"(40.4167754, -3.7037902)","(40.463667, -3.74922)"
Taipei City Government,31446,Taiwan,Taipei,,2013,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"GHG emissions counting in Taipei City contain 6 categories, which include transportation, residence & business, industry, waste, agriculture as well as forestry, and Scope 1 & 2 activities.",2011-01-01 - 2011-12-31,15040800,"In contrast to the net GHG emissions between 2010 and 2011, transport sector revealed upward trend, while residential & commercial, industrial, waste and agricultural sectors indicated a decline. Total emissions in 2011 also showed a downward trend. Residential & commercial sector emissions decreased because Bureau of Energy adjusted electricity emission factors down 12%. In addition, 2011 citywide electricity consumption compared with 2010 decreased about 47 million kwh. Industrial sector emissions slightly downward due to 2011 consumption of industrial heavy oil reduced; waste sector emissions decline as methane emissions of City Landfill reduce with time.",,"(25.0465658, 121.5488669)","(23.69781, 120.960515)"
City of Philadelphia,31181,USA,Philadelphia,C40,2013,International Emissions Analysis Protocol (ICLEI),"In general the ICLEI protocol was followed, however in some cases data was not available in the same fashion or format as described in the protocol.  

- Electricity, natural gas and steam usage was provided by the local utilities.
- Data related to on-site combustion of fuels was derived using the American Communities Surveys and allocated to Philadelphia based on population.
- Emissions from transportation was derived using the local regional planning commission's transportation model and EPA MOVES. EPA's non road emissions model was used for off road vehicles
- Industrial emissions were estimated by looking at EPAs GHG reporting project data and comparing it to previously known information from utilities.
- Waste data was modeled using MSW and private collection data along with local landfill and incernator emissions based on total waste.  This was counted as a scope 3 emissions because none of these facilities are within the City of Philadelphia",2010-01-01 - 2010-12-31,19780964,"Emissions are down from the 2006 benchmark and up slightly from 1990.  There are several contributing factors to this:
- A cleaner Electricity grid from 2006 to 2010
- Reduced Vehicle Miles Traveled from 2006 to 2010
- Industrial Emissions are down from 1990 and 2006
- Building energy use is up from 2006.  It should be noted that two inventory years (2006 and 2010) had very different weather patterns and 2010 was a particularly cold year which is part of the reason for the large increase in natural gas use and in energy use in buildings.)",,"(39.952335, -75.163789)","(37.09024, -95.712891)"
City of Denver,32550,USA,Denver,,2013,"Other: Denver used a hybrid methodology that mostly employs World Resources Institute (WRI) protocols and ICLEI/C40.  WRI was used mostly for upstream (indirect) emissions that occur outside of our political boundaries (fuel, concete, food and packaging).  This method is close to what was recently released by ICLEI as the US Community Protocol.","Our methodology is best described in a peer-reviewed journal paper ""A Demand-Centered, Hybrid
Life-Cycle Methodology for City-Scale Greenhouse Gas Inventories"" located at http://pubs.acs.org/doi/abs/10.1021/es702992q",2011-01-01 - 2011-12-31,9161000,The main reason for the decline in GHG emissions is that the electric utility sector is getting cleaner and has reduced the fleet wide CO2 emissions factor by 7 percent since 2005.  Gasoline and diesel fuel use are also down,,"(39.737567, -104.9847179)","(37.09024, -95.712891)"
City of Baltimore,35853,USA,Baltimore,,2013,Greenhouse Gas Emissions (ICLEI),"ICLEI’s methodology provides a systematic framework for local governments to track energy- and waste-related activities in the community, and to calculate the amounts of greenhouse gases produced by each activity and sector. The inventory methodology involves two sections: a community-wide assessment and a separate inventory of government operations.

Once completed, these inventories provide the basis for an emission forecast, and allow for the quantification of emission reductions associated with proposed measures.

Baltimore City’s Greenhouse Gas Emissions Inventory consists of two essentially distinct inventories: one for the Baltimore City community as a whole, defined by geographic borders, and one highlighting emissions resulting from the City of Baltimore’s Government operations and buildings owned. The Government Inventory is a subset of the Community Inventory (emissions from the municipal operations are embedded in the community inventory). Distinguishing the City Governmental emissions in this way allows the City, which formally committed to reducing emissions, to lead by example in tracking its own facilities and vehicles while evaluating the effectiveness of its emission reduction efforts.

Compiling Baltimore City’s emissions inventory required the collection of information from a variety of sources. The data represents 2010 energy usage, except where notes indicate data gaps that necessitated use of older records.

For our scope, all emissions associated with energy consumed in Baltimore City are included, regardless of the location of the original energy source. This means that, even though the electricity used by Baltimore residents is produced in a plant outside of Baltimore City’s geographical borders, this energy and the emissions associated with it appear in Baltimore City’s inventory. The decision to capture emissions in this way reflects the general philosophy that a community should take full responsibility for the impacts associated with its energy consumption, regardless of where the energy generation occurs.",2010-01-01 - 2010-12-31,7579144,This is our baseline year. No changes to report,,"(39.2903848, -76.6121893)","(37.09024, -95.712891)"
City of Lisbon,36159,Portugal,Lisbon,,2013,Other: Own methodology,"The data for the final energy use in the city of Lisbon was obtained from the Portuguese Directorate-General for Energy and Geology (www.dgeg.pt).
To estimate the emissions from fuel use (scope 1), the emission factors from the 2006 IPCC Guidelines for National Greenhouse Gas Inventories were used.
To estimate the emissions from electricity use (scope 2), the emission factor of the Portuguese electric system from the Portuguese Environmental Agency (www.apambiente.pt) was used.",2009-01-01 - 2009-12-31,3189867,"Given that this is the first year that emissions are reported through the CDP Cities questionnaire, there is no previous year to compare with.",,"(38.7222524, -9.1393366)","(39.399872, -8.224454)"
City of St Louis,35393,USA,St Louis,,2013,International Emissions Analysis Protocol (ICLEI),"This inventory was conducted using processes developed by ICLEI for their Cities for Climate Protection Program.  ICLEI provided an Excel-based Master Data Workbook to aid with the data organization.  Data was then entered into ICLEI’s emissions-calculating software, Clean Air-Climate Protection (2009) version 3.0 (CACP).  CACP is the primary tool used by local governments in the United States to conduct greenhouse gas emissions inventories.  Prior to data entry into CACP, some coefficients must be manually entered.  This inventory used a list of published electricity emissions factors by EPA’s Emission and Generation Resource Integrated Database (eGRID) for region SERC Midwest for 2005, and the North American Electric Reliability Corporation (NERC) electricity factors for criteria air pollutants for 2005 for the region represented by map number 04.",2010-01-01 - 2010-12-31,7506359,,,"(38.6270025, -90.1994042)","(37.09024, -95.712891)"
Village of Kadiovacik,35755,Turkey,Kadiovacik,,2013,2006 IPCC Guidelines for National Greenhouse Gas Inventories,The worksheets (calculation tools) of green house gas protocol are used to calculate CO2 emission.,2011-11-02 - 2012-11-02,646.7,Emission has decresed by increasing awareness of the villagers.,,"(38.3434574, 26.553613)","(38.963745, 35.243322)"
City of Athens,31149,Greece,Athens,C40,2013,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,2007-01-01 - 2007-12-31,4471000,,,"(37.983917, 23.7293599)","(39.074208, 21.824312)"
City of San Francisco,31182,USA,San Francisco,C40,2013,International Emissions Analysis Protocol (ICLEI),"Residential/Commercial/Industrial/Direct Access Electricity: 
The majority of electricity used by the Residential, Commercial and Industrial sectors of San Francisco is purchased from PG&E. Exceptions to this are power to municipal operations, provided by the San Francisco Public Utility Commission (detailed in the Municipal Inventory guidance) and remaining Direct Access power customers.

Emissions from electricity are calculated by applying each electricity source’s unique carbon profile to the total MWh’s consumed by each supplier’s customers.

Residential/Commercial/Industrial Natural Gas: 
The residential, commercial, industrial, and municipal sectors of San Francisco purchase their natural gas from PG&E. The California Climate Action Registry stationary natural emission factors are applied to the activity data to determine tons of GHGs. CO2, N2O, and CH4 registry factors are combined into a single CO2e factor. Emission factors for natural gas are based on combustion only and do not include upstream methane leakage from extraction and distribution of natural gas.

Municipal Electricity (including MUNI fleet electricity): 
Electricity usage data for municipal operations is obtained from the SFPUC. The electricity EF is provided by the SFPUC and applied to the usage data to determine the CO2 emissions.

Municipal natural gas usage: 
Natural gas is delivered by PG&E.

Intra-regional & SF Road Vehicles: 
All vehicle related VMT have been consolidated into one report.  SFCTA provides modeled VMT data from their SFCHAMP model that includes all trips made by passenger vehicles and trucks within San Francisco and assigns half of the VMT associated with trips into or outside of SF.  The other half is attributed to the source or destination city per MTC guidance.  Pass-thru VMT are excluded from the total.  This methodology follows MTC guidance.  Daily VMT are multiplied by 330 to account for total weighted annual VMT where weekend demand is less than weekday. The 2010 CHAMP did not include emissions from buses or freight. 
CO2e emissions are provided by the Bay Air Area Quality Management District using the Air Resource Board’s EMFAC model database.  The emission factor varies by year based on fleet composition used in the model from the DMV and modeling assumptions.

The emission factors vary by year and were supplied by the Bay Air Area Quality Management District. They were derived using EMFAC.

Rail – Caltrain Diesel Fuel: 
Estimates on total system fuel usage are obtained as well as passenger data, specifically total ridership and number of de-boardings in San Francisco. The % of trips de-boarding in San Francisco is share of trips attributable to San Francisco. This percentage is then applied to the total fuel usage, and that amount of fuel is multiplied by the California Climate Action Registry CO2 factor for diesel from mobile sources to determine emissions.
 
Rail – BART Electricity: 
In order to estimate emissions from BART attributable to San Francisco market area, data and total system power consumption was obtained from BART staff. Transbay and Westbay ridership was considered attributable to San Francisco and was divided by total ridership to determine a market share % for San Francisco. This market share % was than multiplied by total system power usage to determine the San Francisco share of power usage. The total system power data is based on electric propulsion data from: http://www.ntdprogram.gov/ntdprogram/data.htm. Emissions factor data is available from PG&E and is commonly published in internal/external reports on energy or GHG emissions.
  
Ferry – Diesel Fuel: 
Ferry data is an estimation of emissions from all Bay Area leisure and commuter ferries. Starting in 2009, the data for all 3 agencies included in SF’s inventory (City of Alameda, City of Vallejo, and Golden Gate Bridge, Highway, and Transportation District) is reported at: http://www.ntdprogram.gov/ntdprogram/data.htm.  Mode type is ‘FB’.

MUNI – Diesel Fuel:
Estimates of diesel fuel used by the SF Municipal Transportation Authority (SFMTA) revenue fleet (buses) were obtained from the SFMTA. The biodiesel content was separated out and only the diesel portion was included in the inventory for diesel emissions calculations. 

Emissions were calculated per Equation TR.4.A.2. Carbon Dioxide Emissions from Mobile Combustion of the U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions, Version 1.0, October 2012. 

The Emission Factor used was from the California Climate Action Registry General Reporting Protocol Version 3.1, January 2009.",2011-01-01 - 2011-12-31,5058389,"Overall emissions increased slightly, primarily due to the inclusion of diesel emissions from municipal buses due to newly available data. 

Sector emissions changed from the previous year due to the change in the way that emissions factors are used. Previously, a community-average emissions factor was calculated and applied to all sectors to calculate emissions. Emissions are now calculated using source-specific emission factors. Since the municipal electricity emissions factor is much lower than the utility emission factor, emissions from municipal electricity use dropped significantly from the previous year.",,"(37.7749295, -122.4194155)","(37.09024, -95.712891)"
