City Name,Account No,Country,City Short Name,C40,Reporting Year,Measurement Year,Primary Methodology,Methodology Details,Total City-wide Emissions (metric tonnes CO2e),City Location,Country Location
City of Miami,35870,USA,Miami,,2012,2006,The International Basic Standard for Community-Scale GHG Emission Inventories (ICLEI/C40/WB),"For community data, City specific data was used where available, such as utility provided records. If City specific data was not available, relevant values were extrapolated by population ratios from County or State data.",4762364.27,"(25.7890972, -80.2040435)","(37.09024, -95.712891)"
City of Paris,31175,France,Paris,C40,2012,2009,Other: Bilan Carbone (R),"We counted the direct and indirect GHG emissions that made possible the activity of the Paris territory as it was in 2009. e.g. for 1 liter of gasoline consumed in a parisian vehicle, the GHG emissions related to oil extraction, refining, and engine combustion are considered.

The methodology used is the Bilan Carbone (R) methodology, that gives national calculation ratios and rules to apply within the French territory. This method gives CO2e emissions aggregated for the 6 GHG gases of the Kyoto protocol.",24600000,"(48.856614, 2.3522219)","(46.227638, 2.213749)"
City of Seattle,16581,USA,Seattle,C40,2012,2008,Other: Proprietary methodology,"The City of Seattle’s methodology is guided by the IPCC Guidelines for the National Greenhouse Gas Inventories and the GHG Protocol (2004), which was developed by both the World Business Council for Sustainable Development and the World Resources Institute. The inventory is based primarily on a geographic approach, and includes all emissions within a certain geographic boundary with a couple of exceptions. All emissions in the inventory are from within the Seattle city limits, with the exception of air travel and energy production. Emissions were calculated using an excel spreadsheet. 

Total emissions includes Scope 3 emissions.  The 143,604 Scope 2 emissions are offset by City Light .",7042000,"(47.6062095, -122.3320708)","(37.09024, -95.712891)"
City of Copenhagen,31009,Denmark,Copenhagen,C40,2012,2010,,"The methodology used provides an inventory of greenhouse gases at the municipality level, divided into sectors. The sectors are similar to those used for the official Danish emission inventory (IPCC sectors), and include: collective power and heating, Individual heating, mobile sources, transportation and machinery, industrial processes, solvents, agriculture, land use, and waste depositing and wastewater.

Simplified generalizations of the equations used for emission calculations are used. These are based on the assumption that emissions of a given activity can be estimated using data descriptive for the size of the activity multiplied by an emission factor pr unit of activity. That is, the inventory is primarily based on scope-2 data on heat and power consumption and scope-1 data on road traffic. 

The method includes CO2-, CH4- and N2O-emission in the inventory. 

As for the national inventories the calculation is built into several levels (Tiers) with increased requirements for municipalities regarding data quality. Each municipality may use different tiers for different sectors depending on the data availability.

Tier 1 is mainly based on the Danish national greenhouse gas inventory data using appropriate distribution keys, in most cases the municipality's share of total population, for a given activity into municipality level. 

Tier 2 is more detailed and includes emission factors used in the Danish national greenhouse gas inventories, while municipalities use their own activity data. 

At Tier 3, which is the most detailed level; municipalities use municipality specific emission factors and activity data.",2515250,"(55.6760968, 12.5683371)","(56.26392, 9.501785)"
Alcaldía Metropolitana de Caracas,31159,Venezuela,Caracas,C40,2012,2000,Other: IPCC Guidelines for National Inventories of Greenhouse Gases 1986,We used the IPCC Guidelines for National Inventories of Greenhouse Gases (1986),986450,"(10.4696404, -66.8037185)","(6.42375, -66.58973)"
City of Dallas,35860,USA,Dallas,,2012,2010,,Methodology included a combination of Environmental Protection Agency (EPA) reported emission factors and EPA recommended emission modeling tools.,17229388,"(32.7801399, -96.8004511)","(37.09024, -95.712891)"
City of Vancouver,20113,Canada,Vancouver,,2012,2008,International Emissions Analysis Protocol (ICLEI),See uploaded methodology document.,2800000,"(49.261226, -123.1139268)","(56.130366, -106.346771)"
City of San Francisco,31182,USA,San Francisco,C40,2012,2010,International Emissions Analysis Protocol (ICLEI),"Residential/Commercial/Industrial/Direct Access Electricity: The majority of electricity used by these sectors is purchased from PG&E. Exceptions to this are power for municipal operations provided by the San Francisco Public Utility Commission and  Direct Access power customers. A San Francisco specific electricity factor is then applied to the usage figures to determine CO2 emissions.

Residential/Commercial/Industrial Natural Gas: The residential, commercial, industrial, and municipal sectors of San Francisco purchase their natural gas from PG&E. The California Climate Action Registry stationary natural emission factors are applied to the activity data to determine tons of GHGs. CO2, N2O, and CH4 registry factors are combined into a single CO2e factor. Emission factors for natural gas are based on combustion only and do not include upstream methane leakage from extraction and distribution of natural gas.

Municipal Electricity (including MUNI fleet electricity): Electricity usage data for municipal operations is obtained from the SFPUC. The Community EF is applied.

Municipal natural gas usage: Natural gas is delivered by PG&E.

Intra-regional & SF Road Vehicles:The SF County Transportation Agency provides modeled VMT data from its SFCHAMP model that includes all travel within San Francisco and assigns half of the VMT associated with trips into or outside of SF. The other half is attributed to the source or destination city. Pass-thru VMT are excluded from the total. 

Guidance from the Metropolitan Transportation Commission. CO2e emissions are provided by the Bay Air Area Quality Management District using the Air Resource Board’s EMFAC model database.  

Rail – Caltrain Diesel Fuel: Estimates on total system fuel usage are obtained as well as passenger data, specifically total ridership and number of de-boardings in San Francisco. The % of trips de-boarding in San Francisco is share of trips attributable to San Francisco. This percentage is then applied to the total fuel usage, and that amount of fuel is multiplied by the California Climate Action Registry CO2 factor for diesel from mobile sources to determine emissions.
 
Rail – BART Electricity: Market area data and total system power consumption was obtained; Transbay and Westbay ridership was considered attributable to San Francisco and was divided by total ridership to determine a market share % for San Francisco. This market share % is multiplied by total system power usage to determine the San Francisco share of power usage. 
  
Ferry – Diesel Fuel:Ferry data is an estimation of emissions from all Bay Area leisure and commuter ferries.

Community Wide Electricity Emissions Factor: Within the City and County of San Francisco there are three distinct sources of electricity. The first and largest is PG&E which currently serves all residential and the majority of commercial buildings. The second are a small classification of commercial customers who purchase their power directly from power providers; these are known as Direct Access Customers. The third set of customers is those that purchase from the municipal San Francisco Public Utilities Commission. Each of these electric providers has a different carbon factor which is applied to kWh consumer by their respective customers. For emissions estimates of the different resources that constitute the California Net System Power Mix, including coal, natural gas, hydro, nuclear, and renewable, staff used figures recently published by the California Public Utilities Commission. In addition, in order to take responsibility for emissions generated by in city power plants San Francisco also included the emissions from PG&E contracted electric power plants located within the City and County of San Francisco as part of the emissions profile of PG&E customers.

1) Local Generation: GHG emissions produced by major facilities located within San Francisco. 
2) Owned Generation: The total electricity used by the City and County of San Francisco for municipal government operations, primarily carbon free power from SFPUC’s Hetch Hetchy hydro electric system.
3) Imported Power: This includes electricity consumed by Direct Access customers. Since very little information is publicly available on the resources procured by ESPs for non-BART DA customers, SFE staff estimated an emissions factor for the rest of DA electricity for the California Energy Commission (CEC) annual “California Net System Power Mix” as a proxy for an average DA resource portfolio.   

For emissions estimates of the different resources that constitute the California Net System Power Mix, including coal, natural gas, hydro, nuclear, and renewable, staff used figures recently published by the California Public Utilities Commission.",5255665,"(37.7749295, -122.4194155)","(37.09024, -95.712891)"
District of Columbia,31090,USA,Washington DC,,2012,2006,The International Basic Standard for Community-Scale GHG Emission Inventories (ICLEI/C40/WB),"District government hired ICLEI to gather and analyse data related to completing our community GHG inventory, using data for the year 2006.",10500000,"(38.9071923, -77.0368707)","(37.09024, -95.712891)"
City of Helsinki,8242,Finland,Helsinki,,2012,2010,International Emissions Analysis Protocol (ICLEI),"Calculations are made with national community-scale ghg inventory model (Kasvener), which is based on IPCC parameters, and further adjusted for Helsinki Metropolitan Area with weather correction, benefit allocation method for CHP and national emission factor for electricity.",3222900,"(60.1733244, 24.9410248)","(61.92411, 25.748151)"
City of Los Angeles,10894,USA,Los Angeles,C40,2012,2010,,,38734718,"(34.0522342, -118.2436849)","(37.09024, -95.712891)"
Municipality of Curitiba,31156,Brazil,Curitiba,C40,2012,2008,The International Basic Standard for Community-Scale GHG Emission Inventories (ICLEI/C40/WB),We used de GHG Protocol and IPCC Guidelines,3515890,"(8.309021, -62.7288829)","(-14.235004, -51.92528)"
Greater Manchester,35898,United Kingdom,Manchester,,2012,2009,Other: UK National Atmospheric Emissions Inventory,"The data presented here represent a spatial disaggregation of the CO2 from the UK Greenhouse Gas Inventory (GHGI), part of the National Atmospheric Emissions Inventory (NAEI), on an end user basis. The CO2 emissions are estimated, by sector, for each local authority in the UK.

The UK official Greenhouse Gas inventory (GHGI) is compiled annually by AEA on behalf of the Department for Energy and Climate Change (DECC) as part of the NAEI programme. The GHGI is compiled and reported using international best practice guidance and draws on a variety of National Statistics and sector specific data sources. The UK GHGI is reported each year to the United Nations Framework Convention on Climate Change (UNFCCC) and the European Monitoring Mechanism (EUMM) and is used to assess compliance with the targets set nationally and internationally such as in the Kyoto Protocol. A consistent method and common base of activity data is used across the NAEI programme. This provides internally consistent inventories and emissions projections of greenhouse gases and air quality pollutants.",15902000,"(53.4575955, -2.1578377)","(55.378051, -3.435973)"
