City Name,Account No,Country,City Short Name,C40,Reporting Year,Measurement Year,Primary Methodology,Methodology Details,Total City-wide Emissions (metric tonnes CO2e),Increase/Decrease from last year,Reason for Increase/Decrease in emissions,City Location,Country Location
City of Gibraltar,50650,Gibraltar,Gibraltar,,2015,12/31/2013 12:00:00 AM,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","It followed as closely as possible the recently published methodological guidelines for City Inventories by the British Standards Institute 'PAS2070' (BSI 2014) and the World Resources Institute 'GPC' (Greenhouse Gas Protocol, 2014).",267349,Decreased,"Emissions have decreased slightly, this could be attributed to solar PV and solar thermal pilot projects, changing street lighting to LEDs and newer equipment in one of the power stations.","(36.1407734, -5.3535994)","(36.140751, -5.353585)"
City of Benicia,49787,USA,Benicia,,2015,12/31/2010 12:00:00 AM,International Emissions Analysis Protocol (ICLEI),,688706,Increased,"In 2010, community-wide emissions with large industrial emitters had increased from 2005 by 24% while community-wide emissions without large industrial emitters increased by 41%.    There was a 5.6% increase in emissions (2000-2005, with large emitters).   When the baseline inventory was completed, the team predicted that by 2010, emissions (w/ large industrial emitters) would increase 9% from 2005 to 4.6 million metric tons.  If large emitters were still included, then the increase between 2005 and 2010 was only a 24% increase, 15% more than what was originally predicted.  However, for 2010, it was decided to exclude large emitters.  This means that increases in all other sectors have a greater impact on total emissions, i.e. the increase in transportation emissions has a much greater impact on overall emissions levels.    The roughly 35% increase between 2005 and 2010 could be due to a number of things including changes in reporting protocols, e.g. permitting requirements changed or the non-recession years outweighed the recession years.  It could also be that Benicia was not as hard hit by the recession as other communities and therefore, emissions didn't decrease. Again, educated guesses have been made as to what caused the increase.    Please note that vehicle miles travelled (VMT) grew between 2000 and 2010 by 62%, while emissions increased 95%.  The % of total emissions from transportation is within the Bay Area average. The Metropolitan Transportation Commission (MTC) calculates VMT using a proprietary software model. MTC inputs traffic counts, vehicle speeds, vehicle make and model, and fuel data into its software. In 2010, per the change in the modeling software, Benicia is now responsible for 50% of the trips that start elsewhere but end in Benicia and trips that start in Benicia but end elsewhere. This is calculated based on the number of people that exit or enter the highway in Benicia. Pass through VMT is not attributed to Benicia. Then, emissions are calculated by inputting VMT into the CACP software, which generates a GHG equivalent (MTCO2e). The increase in off road emissions is due to construction permit projections for buildings, which may have never been built. However, estimating off road emissions using construction permit data is the recommended calculation method per ICLEI’s protocol and guidance.","(38.049365, -122.1585777)","(37.09024, -95.712891)"
City of Columbus,43910,USA,Columbus,,2015,12/31/2014 12:00:00 AM,Other:,ICLEI Clear Path Tool,9103603,Decreased,"14% reduction from baseline year of 2013, this is mainly due to less energy consumed in both the residential and commercial/industrial sectors. This is due in part to energy the utility companies efficiency efforts and also perhaps milder weather.","(39.9611755, -82.9987942)","(37.09024, -95.712891)"
City of Berlin,31153,Germany,Berlin,C40,2015,12/31/2010 12:00:00 AM,,"The balance of energy-related CO2 emissions is calculated according to a methodology agreed between the German states. There are two ways to look at energy-related CO2 emissions: (1) The calculation of carbon balance based on primary energy sources is subdivided by the sources of emissions, energy transformation and final energy consumption. This method shows only the total amount of carbon dioxide emitted in the city but it does not include the impact of external electricity trade. Therefore, the consumption of final energy consumers is not reflected. That is why Berlin prefers method (2) which is a consumption-based accounting of CO2 emissions. This methodology of calculating CO2 emissions is based on data from the end-use sectors, and puts electricity imports into account. It also adds to the end-users’ emissions those produced by generation of electricity and district heating in the energy transformation sector. Consumption-based accounting of CO2 emissions is therefore one indicator to find out the end-users’ emissions in a region.
The calculation is based on the energy balance as comprehensive and complete presentation of the energy consumption as a basis. In addition there are specific CO2 factors necessary based on the calorific value of an energy source offered by the Federal Environment Agency differentiated according to energy source and application.",21299000,Increased,"The energy and CO2 balance for the year 2010 presented by the Office for Statistics Berlin-Brandenburg state significant increases of the final energy consumption ( FEC) and CO2 emissions compared with the year 2009. Final energy consumption compared to the previous year increased by 7.4% and CO2 emissions by 5.9%.
 Compared to the base year 1990 Berlin has achieved a reduction of 27.4% CO2. The increases in CO2 emissions results from the manufacturing industry ( +9.2 %), air transport ( +13.6 %) and the area of household, commercial and services ( +6.6 %). The latter area is crucial. It accounted for additional emitted 0,916 million tons of CO2. The increases were mainly in the mineral fuels, gases, and district heating. Obviously, the demand for heating energy in 2010 was very pronounced. This can be explained by the harsh winter of 2010. The Berlin development has not been invulnerable to the national trend. There, too, the final energy consumption increased by 7.5 percent.","(52.5200066, 13.404954)","(51.165691, 10.451526)"
City of Burlington,2430,USA,Burlington,,2015,12/31/2010 12:00:00 AM,,"The City of Burlington collects emissions data in an Excel-based GHG Inventory Modeling Workbook developed and populated with the help of an environmental consultant.  Electricity data comes from the Burlington Electric Department. Natural gas data is provided by Vermont Gas. To generate transportation data, staff input miles per functional class and average annual daily traffic into CACP Transport Assistant Tool to obtain vehicle miles traveled by functional class and total emissions. The calculation of the community solid waste adds the total CSWD municipal solid waste and construction and demolition debris, then multiplied it by the Burlington population over the CSWD population.",287535.99,Other: No change,No additional inventory analysis has been completed since last reporting period.,"(44.4758825, -73.212072)","(37.09024, -95.712891)"
Comune di Venezia,36254,Italy,Venice,C40,2015,12/31/2005 12:00:00 AM,Other:,Our BEI (Baseline Emission Inventory) has been made according to the Covenant of Mayors Guide Lines.,1418344,Other: No change,"Our BEI is based on 2005. Unfortunately, we have not a more updated inventory so that's why we consider that our emissions have no change. Next update is scheduled for the end of 2014 and will be liely based on 2012 or 2013.","(45.4332515, 12.3210704)","(41.87194, 12.56738)"
Cascais,50680,Portugal,Cascais,,2015,12/31/2010 12:00:00 AM,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"this was made with calculous platforms from international organizations such as UN (IPCC, and ICLEI) as well as EU comission",565382,Decreased,We have verified a decrease in fuel consumption between the mentioned time period.,"(38.6970565, -9.4222945)","(39.399872, -8.224454)"
New York City,3417,USA,New York,C40,2015,12/31/2013 12:00:00 AM,Other:,"ConEdison (ConEd) provided data on use of citywide electricity
and steam, and natural gas in the Bronx, Manhattan, and parts of
Queens. National Grid reported natural gas use data for Brooklyn,
parts of Queens, and Staten Island. The Long Island Power Author-
ity (LIPA) reported electricity use data for the Rockaways area of
Queens. Fuel oil use was provided by private fuel oil suppliers, per
Local Law 43 of 2013, which requires fuel oil providers to report
fuel oil deliveries by fuel type to the City on an annual basis. The
New York Metropolitan Transportation Council (NYMTC) provided
on-road transportation vehicle-miles-traveled (VMT) data. Energy
use data for public transit were provided by the Metropolitan
Transportation Authority (MTA) for New York City Transit (NYCT)
subways and buses, Staten Island Railway (SIR), MTA Metro-North
Rail Road (MNR) and Long Island Railroad (LIRR) commuter rail,
and MTA Bus Company buses; by the Port Authority of New York
and New Jersey (PANYNJ) for Trans-Hudson (PATH) commuter rail;
and New Jersey Transit (NJT) for its commuter rail and buses.
Data used to calculate fugitive and process CH4 and process N2O
from wastewater treatment were provided by DEP. CH4 emissions
were calculated based on the destruction of volatile material in
anaerobic digesters. Based on the measured concentration and
flow of volatile organic solids, it is estimated that 15 cubic feet of
digester gas is produced for every pound of volatile organic solids
destroyed. N2O emissions were calculated by applying the daily
nitrogen load discharged by each of the City’s 14 wastewater
treatment plant to the formula in the LGOP.

Fugitive CH4 from in-city landfills was calculated from landfill gas
collection data provided by the New York City Department of Sani-
tation (DSNY) and DEP per the LGOP. Fugitive CH4 from exported
solid waste was calculated using waste disposal figures for resi-
dential, commercial, and construction and demolition waste and
applying emissions factors from the USCP, which were taken from
EPA’s Waste Reduction Model (WARM). Fugitive CH4 from natural
gas distribution was calculated using data provided by National
Grid and ConEd. Fugitive SF6 from electricity distribution was cal-
culated using data provided by ConEd. 

.",45993429,Stayed the same,"New York City emitted slightly more carbon in 2013 than 2012,
at 48.02 million tons of carbon. This is a 0.02 % increase, and
as such likely within the margin of error
•	 The largest driver to changing emissions was a colder winter
•	 Electricity use in buildings decreased beyond growth, reflecting
the impact of energy efficiency investments and improved
building operations
•	 The impact of weather was most significantly offset by increased
efficiencies in electricity and fuel consumption
•	 Per capita vehicle miles traveled increased, contributing an
increase of 0.22 million tCO2e over emissions in 2012","(40.7127837, -74.0059413)","(37.09024, -95.712891)"
City of Oslo,14088,Norway,Oslo,C40,2015,12/01/2013 12:00:00 AM,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","The GPC has been combined with the IPCC 2006 guidelines. Oslo gets the GHG-data from Statstics Norway and they make the data based  on the IPCC guidelines, but Oslo has in this reporting made som adjustments to the GPC. 

Scope 2 emissions is not part of our emission accounting, partly because we get our number from Statistics Norway and their focus has been on scope 1 emissions since they are also the ones reponsable for the national inventory. They work to get the numbers in the counties (Oslo is both a municipality and a county) consistent with  national level ghg-reporting so that you can aggregate the numbers from the counties and get the national numbers. It`s therefor important for us to be loyal to these numbers. The second reason is that the mitigation targets in Oslo with baseline year back to 1991 are based on scope 1 boundaries. The third  reason why we don`t measure the scope 2 emissions, is that we have a very special energy situation. We produce as much renewable electricity (from water power) in Norway in a normal year than what is consumed.  We therefore find it more usefull to have an energy consumption target: A kWh is a kWh while emission factors on electricity leads to confusion and maybe wrong decicions.",1298000,Increased,"The scope 1 emissions have increased slightly, from 1259 mill. tonnes CO2e in 2012 to 1298 mill. CO2e in 2013.  The main reason is growth in emissions from Off road-transportation, from 184 000 tonnes in 2012 to 246 000 CO2 in 2013. Emissions from stationary energy use in residential, commercial and institutional buildings decreased by 22 000 tonnes of CO2. We did not report on community GHG-data last year, because Statstics Norway wanted to go through their methodologies and ensure the quality of the climate inventory for norwegian counties, including Oslo. Now they have updated the numbers back to 2009.","(59.9138688, 10.7522454)","(60.472024, 8.468946)"
Free and Hanseatic City of Hamburg,35868,Germany,Hamburg,,2015,12/31/2012 12:00:00 AM,,"The emissions figures in fields C1.4 and C1.6 solely state Hamburg’s CO2 emissions (sum of Scope 1 and Scope 2 emissions) – they do not include any CH4, N2O etc. emissions. This is due to the statistical principles used in Germany for the ""Energiebilanzen der Bundesländer"" (energy balances of the German federal states) and the ""CO2-Bilanzen der Bundesländer"" (CO2 balances of the German federal states), which are based on the energy consumption within the respective statistical area. Nevertheless, these figures do reflect Hamburg’s CO2e emissions quite accurately, because CH4, N2O etc. emissions only cause less than 4% of Hamburg’s overall CO2e emissions.",18422000,Increased,"The decrease from the year before was mainly due to a warm winter. This year this trend was reversed again with ""normal"" winter weather.","(53.5510846, 9.9936818)","(51.165691, 10.451526)"
City of Helsinki,8242,Finland,Helsinki,,2015,12/31/2014 12:00:00 AM,Other:,Regionally developed methodology equivalent to GPC (and IPCC guidelines),2789724,Decreased,"Energy efficiency has improved in buildings and vehicles. National grid electricity produces less CO2 emissions than before. Traffic fuel mix includes more CO2-neutral fuels.
Long term: Less coal in district heating, waste management has improved, industry has decreased.","(60.1733244, 24.9410248)","(61.92411, 25.748151)"
City of St Louis,35393,USA,St. Louis,,2015,12/31/2010 12:00:00 AM,,"This inventory was conducted using processes developed by ICLEI for their Cities for Climate Protection Program.  ICLEI provided an Excel-based Master Data Workbook to aid with the data organization.  Data was then entered into ICLEI’s emissions-calculating software, Clean Air-Climate Protection (2009) version 3.0 (CACP).  CACP is the primary tool used by local governments in the United States to conduct greenhouse gas emissions inventories.  Prior to data entry into CACP, some coefficients must be manually entered.  This inventory used a list of published electricity emissions factors by EPA’s Emission and Generation Resource Integrated Database (eGRID) for region SERC Midwest for 2005, and the North American Electric Reliability Corporation (NERC) electricity factors for criteria air pollutants for 2005 for the region represented by map number 04.",7506359,,,"(38.6270025, -90.1994042)","(37.09024, -95.712891)"
Suwon city,44185,South Korea,Suwon,,2015,12/31/2012 12:00:00 AM,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,5881312,Increased,"Our city's GHG emission quantity in 2014 was 5,749,476tC02e, about a 2.3% increase from 2013's. One of the major factors is the increase in landfill waste generation due to the Suwon Station being around the factory grounds, and because it  landfill waste is seen as a temporary phenomenon, it showed almost the same level the previous year, with the exception of sector emissions.","(37.2635727, 127.0286009)","(35.907757, 127.766922)"
City of Pittsburgh,35877,USA,Pittsburgh,,2015,12/31/2008 12:00:00 AM,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"Citywide greenhouse gas (GHG) emissions are defined as all emissions within the municipality’s geographic boundaries. Citywide emissions include residential, commercial, and industrial activities as well as transportation and waste generation within city limits. Municipal emissions are embedded in the citywide inventory because municipal operations are within the city’s geographic boundaries. 

The 2008 Pittsburgh Greenhouse Gas Emissions Inventory used ICLEI’s CACP software and Pittsburgh’s 2003 baseline Greenhouse Gas Emissions Inventory to guide citywide emissions inventorying in the absence of a formal citywide emissions reporting protocol. As with the municipal inventory, the data was converted to tons CO2e. 

Pittsburgh’s 2003 and 2008 citywide GHG inventories are bounded by Pittsburgh city limits. This is a necessary delimitation for a manageable analysis. One way Pittsburgh is working to address the exclusion of Pittsburgh’s suburb neighborhoods, ports, and airports from the 2008 Pittsburgh GHG inventory data is to expand our reduction strategies and activities to include those entities whenever possible, even if they are or will be measured under separate inventories, such as Allegheny County’s inventory process. 

The 2008 Pittsburgh citywide inventory includes all Scope 1 and Scope 2 emissions except fugitive emissions. The Scope 3 emissions included are those from waste generated within Pittsburgh city limits.

The reported emission values are rounded.",6000000.79,Increased,"In 2008, Pittsburgh’s CO2e emissions totaled 6.79 million tons, a 28 percent increase from adjusted 2003 emissions levels of 5.30 million tons CO2e. Thus, to effectively meet the Pittsburgh greenhouse gas emissions reduction goal set in the Pittsburgh Climate Action Plan, Version 1.0 as 20 percent below 2003 levels by 2023, Pittsburgh must now work to reduce its 2008 greenhouse gas emissions levels by 2.55 million tons CO2e from 2008 levels.  

There are multiple explanations for why Pittsburgh’s total greenhouse gas emissions increased 28 percent between 2003 and 2008:
• Increased electricity usage
• Expanded transportation data to include all road types within Pittsburgh city limits
• More accurate natural gas combustion estimates using company-specific usage data and the actual number of natural gas customers • The inclusion of the Bellefield Boiler Plant’s commercial coal and natural gas combustion to produce steam in the Oakland area, excluded from 2003 data
• The inclusion of kerosene and fuel oil combustion, excluded from 2003 data
• The exclusion of sequestration factors while calculating solid waste emissions, thereby treating solid waste as an emitter rather than a sink
• Weather differences.","(40.4406248, -79.9958864)","(37.09024, -95.712891)"
City of Atlanta,1093,USA,Atlanta,,2015,12/31/2013 12:00:00 AM,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","The Atlanta Mayor’s Office of Sustainability uses the Global Protocol for Community-Scale Greenhouse Gas Emission Inventories (GPC) as the framework for its annual citywide greenhouse gas (GHG) reports, which is consistent with international standards. The GPC level selected for the 2013 reports was BASIC. This level will serve as a baseline for more comprehensive reports in the future. This report included emissions from electricity and natural gas consumption, vehicles, city-owned landfills, municipal solid waste (MSW) generated inside the city but sent to landfills outside city limits, and emissions from wastewater treatment plants (WWTP), the Metropolitan Atlanta Rapid Transit Authority (MARTA), and the Hartsfield-Jackson Atlanta International Airport (excluding aviation fuel emissions). All these emitting sources are in compliance with the GPC protocol.",8857265,Decreased,The decrease of emissions from the previous year was very small (0.52%) mainly caused by energy efficiency measures. The city is planning to increase its energy efficiency and follow a climate action plan to increase reductions to meet its 2020 climate targets.,"(33.7489954, -84.3879824)","(37.09024, -95.712891)"
Prefeitura de Sorocaba,50383,Brazil,Sorocaba,,2015,12/31/2012 12:00:00 AM,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"This inventory were considered for calculating the following greenhouse gases ( GHG ) : Carbon Dioxide ( CO2 ), methane ( CH4 ) , nitrous oxide ( N2O ) , Hydrochlorofluorocarbons ( HFC "" s ) , Perclorofluorcarbonos ( PFC "" s ) and hexafluoride Sulfur ( SF6 ) . , 2000 IPCC Good Practice Guidance and Management in Natural Uncertanty Greenhouse Gas Inventories ; 2006 IPCC Guidelines for National , Greenhouse Gas Inventories ISO 14064-1/2006 : To estimate GHG emissions in Sorocaba , the following references were used : Greenhouse Gases , ISO 14064-2/2007 : Greenhouse Gases , Global Protocol for Community - Scale Greenhouse Gas Emissions ( GPC ) 2012. Potential GHG Global Warming was used , according to the Second Assessment Report of the IPCC (1995 ) . The sectors analyzed were : agriculture, forestry and land use ( rice planting in irrigated systems , liming the soil , herd management and animal manure management , agricultural soil management , agricultural waste burning and land use change ) , energy ( mobile combustion , stationary combustion and electricity consumption ) ; industry , and waste ( landfill and sewage treatment ) . Databases respected in the country , as the IBGE and SEADE were used , in addition to consulting the ANP ( National Petroleum Agency ) , municipal government information , agencies and agriculture companies .",1113971.3,Other: not rated yet,"There is only an elaborate inventory, so we can not compare emissions","(-23.4774899, -47.4220615)","(-14.235004, -51.92528)"
Jakarta City Government,31166,Indonesia,Jakarta,C40,2015,12/31/2005 12:00:00 AM,,"Identify GHG emissions from potential sector, such energy using, transportation, solid waste, waste water, and industrial.
Inventory GHG emissions and transportation as potential source.
Identify mitigaton action through define criteria and scoring


Method of calculation:Emission / absorption of GHG = AD x EF

AD: The data generated from the construction activities and human activities
EF: The amount of emissions per uptake per unit",43860000,Decreased,"- Commitment to Reduce the Greenhouse Gas Emissions 

- Jakarta’s commitment to reduce greenhouse gas     emissions, the target to cut emissions by 30% by 2030  will be applied. The greenhouse gas emisions target is based upon the base line of emision in 2005, which was 34,67 million tons of CO2e and the emisions projection for 2030 (if we were continue with “BAU=Business As Usual”) of 117.45 million tons of CO2e.  

Based on this prediction, the 30% reduction would need to be   approximately 35,24 million tons of CO2e / year. To support the reduction commitment, the following  mitigation strategies will be applied:

Implement energy savings and increase the utilization of environmentally-friendly alternative energy. 

Improve emissions control of moving and unmoving sources","(-6.2087634, 106.845599)","(-0.789275, 113.921327)"
City of Detroit,35862,USA,Detroit,,2015,12/31/2012 12:00:00 AM,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,10329322,This is our first year of calculation,,"(42.331427, -83.0457538)","(37.09024, -95.712891)"
Roma Capitale,31110,Italy,Rome,C40,2015,12/31/2010 12:00:00 AM,Other:,"The metodology is top - down, using data of primary energy source amount.",10008879,Decreased,,"(41.8723889, 12.4801802)","(41.87194, 12.56738)"
City of Las Vegas,10495,USA,Las Vegas,,2015,12/31/2013 12:00:00 AM,Other:,"Community data was collected from local utilities (NV Energy and Southwest Gas), the Nevada Department of Transportation's Annual VMT Report for Clark County, the Regional Transportation Commission of Southern Nevada, and the Nevada Department of Environmental Protection. These data points were input into ICLEI's CACP software to obtain aggregated community emission data for Southern Nevada.",29555418,Other: No change,"The population of Las Vegas has stayed fairly constant in the last 5 years.  Population dropped slightly after the recession, but has returned to 2009 levels.  Community emissions targets are not as rigidly defined as the municipality's, so reductions in GHG emissions are not as pronounced.","(36.1699412, -115.1398296)","(37.09024, -95.712891)"
City of Turku,50154,Finland,Turku,,2015,12/31/2012 12:00:00 AM,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"For a local authority level the IPCC guidelines have been applied according to: European Union/Covenant of Mayors, 2010. How to develop a Sustainable Energy Action Plan - Guidebook. Part II, Baseline emissions inventory. The sectors included are: heating, electricity consumption (including industry), road traffic, agriculture and waste management.",1051000,Increased,The production of district heating in the region was more centred around coal-fired CHP plant due to reorganization of ownership.,"(60.4518126, 22.2666303)","(61.92411, 25.748151)"
Prefeitura do Rio de Janeiro,31176,Brazil,Rio de Janeiro,C40,2015,12/31/2012 12:00:00 AM,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","We were one of the pilot cities to use the GPC first version. We updated the last inventory (2005) and calculated the new one (2012). We used IPCC 2006 with some adaptations to the local context, following the GPC requirements and procedures.",20268045,Increased,"The numbers presented here are from the same inventory reported to CDP last year, however it was submitted to external verification and the numbers were reviewed according to the recommendations of the verifier. It was just a slight increase due to this review.","(-22.9054389, -43.5614471)","(-14.235004, -51.92528)"
Prefeitura de Florianópolis,50384,Brazil,Florianópolis,,2015,12/31/2013 12:00:00 AM,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",IDOM / COBRAPE / BID /PMF (2014),2099020,This is our first year of calculation,,"(-27.5949884, -48.5481743)","(-14.235004, -51.92528)"
Mexico City,31172,Mexico,Mexico City,C40,2015,12/31/2012 12:00:00 AM,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","Quality Assurance/Quality Control. Activities include calculations revision, data management, verification procedures and uncertainties calculation.
With models adapted for the country of Mexico",24084942,Decreased,Emissions from private transport sector are 8% lower due to a reduction of vehicles in the fleet. The data base for industrial sector was updated too.,"(19.4326077, -99.133208)","(23.634501, -102.552784)"
City of Yokohama,31113,Japan,Yokohama,C40,2015,03/31/2012 12:00:00 AM,Other:,"Yokohama determines levels of greenhouse gas (GHG) emissions, promotes their reduction, and manages the progress of reduction on the basis of the Yokohama City Action Plan for Global Warming Countermeasures (district measure revised edition; 2014), which was prepared in accordance with the provisions of Article 20, Item 3, Paragraph 3 of the Act on Promotion of Global Warming Countermeasures.  It measures GHG emissions in accordance with “the manual for formulation of action plans by local public entities for global warming countermeasures (regional measure edition, 2014)”, which was formulated by the Ministry of the Environment.",21039000,Increased,"after the Great East Japan Earthquake, the portion of thermal plant has been increased, emission coefficients in the power sector has been increased.","(35.4437078, 139.6380256)","(36.204824, 138.252924)"
City of Edmonton,43912,Canada,Edmonton,,2015,12/31/2013 12:00:00 AM,International Emissions Analysis Protocol (ICLEI),"Each year we manually collect empirical utility use information from the utilities for natural gas and electricity used within the geographic border of the City of Edmonton. This information is provided to us in various reporting categories such as residential, commercial and industrial. We are now receiving this information at the finest level of granularity that can be provided from the utilities. Propane fuel use for transportation is taken from Statistics Canada as recorded for the Province of Alberta, and then prorated according to the population of Edmonton compared to the population of Alberta. The diesel and gasoline use in litres is done in a similar fashion, but the information in this case is provided to us from the Alberta provincial government. The natural gas consumption in vehicles is received directly from the natural gas distributor. The conversion factors are derived from various sources: electricity grid intensity comes from Statistics Canada - this factor, is always two years behind the calendar year; natural gas and liquid fuels from US Environmental protection Agency, or Natural Resources Canada references, and the local utilities. The data is input manually each year into an excel spreadsheet model, and the conversion factors are checked for updates each year. Reports on the results are sent out on an as needed, customized basis.",16051047,Increased,"The changes from the 2012 dataset are as follows:Residential increased slightly, mostly due to an increase in customers, commercial increased energy consumption due to expansion in numbers, industrial showed a small increase in electricity use and natural gas a small reduction,but we can't determine why. All the vechicle fuel consumption numbers increased: gasoline, diesel, propane, natural gas for vehicles likely due to an increase in vehicles on road (not sure - don't have vehicle statistics), ""Other"" emissions dropped significantly due to an accounting readjustment. The ""cogeneration"" component was removed from the inventory because of a lack of integrity in the dataset. This eliminated roughly 1.2 million TCO2e from the inventory. This was reconciled throughout the reporting history of the inventory to ensure this wasn't recorded as a reduction. Overall, total EMISSIONS in 2013 went up by 1.72% over 2012 data.","(53.544389, -113.4909267)","(56.130366, -106.346771)"
City of Dallas,35860,USA,Dallas,,2015,12/31/2010 12:00:00 AM,Other:,Methodology included a combination of Environmental Protection Agency (EPA) reported emission factors and EPA recommended emission modeling tools.,17229388,Decreased,Increased use of renewable sources of electricity.,"(32.7801399, -96.8004511)","(37.09024, -95.712891)"
Tokyo Metropolitan Government,31111,Japan,Tokyo,C40,2015,03/31/2014 12:00:00 AM,Other:,"The guideline set by the Ministry of environmnet , Japan",70125000,Increased,The emission factor of the electricity has been deteriorated after the Great East Japan Earthquake in Mach 2011.,"(35.6896342, 139.6921007)","(36.204824, 138.252924)"
City of Copenhagen,31009,Denmark,Copenhagen,C40,2015,12/31/2014 12:00:00 AM,Other:,"The methodology used provides an inventory of greenhouse gases at the municipality level, divided into sectors. The sectors are similar to those used for the official Danish emission inventory (IPCC sectors), and include; collective power and heating, Indivitual heating, Mobile sources, Tranportation and machinery, Industrial processes, Solvents, Agriculture, Land use, and waste depositing and wastewater.

Simplified generalizations of the equations used for emission calculations are used. These are based on the assumption that emissions of a given activity can be estimated using data descriptive for the size of the activity multiplied by an emission factor pr unit or activity. That is, the inventory is primarily based on scope-2 data on heat and power consumption and scope-1 data on road traffic.

The method includes CO2-, CH4- and N2O-emission in the inventory.

As for the national inventories the calculation is built into several levels (Tiers) with increased requirements for municipalities regarding data quality. Each municipality may use different tiers for different sectors depending on the data available.

Tier 1 is mainly based on the Danish natinoal greenhouse gas inventory data using appropriate distributino keyw, in most cases the municipality's share of total population, for a given activity into municipality level.

Tier 2 is more detailed and includes emission factors used in the Danish national greenhouse gas inventories, while municipalities use their own activity data.

At Tier 3, which is the most detailes level; municipalities use municipality specific emission factors and activity data.",1626573,Decreased,"The CO2-emissions from the City of Copenhagen in 2014 was 13% lower than the emissions in 2013. The reduction in the emissions is primarily caused by more wind power i the power production in Copenhagen and in Denmark in general. And the use of more biomass in combined heat and power production.


For Denmark as a whole, one kilowatt-hour of electricity emitted an average of almost 19% less CO2 in 2014 than in 2013, and almost 36% less than in 2005. This drop is partly attributable to higher wind production as well as more use of biomass in combined heat and power production.","(55.6760968, 12.5683371)","(56.26392, 9.501785)"
City of Denver,32550,USA,Denver,,2015,12/31/2013 12:00:00 AM,Other:,"This workbook provides all of the necessary calculations to review the currrent inventory as well as update the inventory for future years based on new data, including population and the consumption of electricity, natural gas, vehicle fuels and key materials. The methodolody is explained in more detail in the peer-reviewed  journal paper ""A Demand-Centered, Hybrid Life-Cycle Methodology for City-Scale Greenhouse Gas Inventories"" located at http://pubs.acs.org/doi/abs/10.1021/es702992q .",9132000,Increased,"2013 was anomolous in that Denver experienced a colder than normal winter requiring more consumption of natural gas for space heating.  As recovery from an earlier recession continues, slight increases also occured in materials and transportation emissions.  However, Denver's major source of emissions, building electricity, saw decreases as a result of continued carbon intensity reductions at investor owned utility power plants.","(39.737567, -104.9847179)","(37.09024, -95.712891)"
Comune di Napoli,36158,Italy,Naples,,2015,12/31/2005 12:00:00 AM,,,2913435,,,"(40.8419943, 14.2513831)","(41.87194, 12.56738)"
City of Vancouver,20113,Canada,Vancouver,C40,2015,12/31/2013 12:00:00 AM,International Emissions Analysis Protocol (ICLEI),"Natural Gas: data have been provided by the natural gas utility for 2013 Electricity: data have been provided by the electricity utility for 2013 Light-Duty Vehicles (LDV): annual gasoline sales within city limits, multiplied by an emission factor for gasoline and a correction factor that accounts for Vancouver’s situation as the largest regional employment node and home to many regional recreational facilities. In short, considerably more people travel to Vancouver (and therefore purchase fuel here) from surrounding municipalities than leave it on a daily basis.  Heavy Duty Vehicles (HDV): based on Metro Vancouver modelling of regional air emissions inventory, per the “2005 Lower Fraser Valley Air Emissions Inventory & Forecast and Backcast - Full Report”, for the City of Vancouver. Solid Waste: based on a model generated by Conestoga-Rovers & Associates' July 2012 report. That model estimated past, present, and future landfill gas emissions incorporating anticipated increases in waste tonnages and projections of past assumptions regarding Vancouver's portion of waste in place at the Vancouver Landfill.",2625609,Decreased,"Community LDV emissions have decreased with declining fuel sales within the city. Continued increase in landfill gas capture efficiency, coupled with a decrease in overall electricity grid GHG intensity, reduced overall GHG emissions.","(49.261226, -123.1139268)","(56.130366, -106.346771)"
City of Hiroshima,49386,Japan,Hiroshima,,2015,03/31/2012 12:00:00 AM,Other:,本市独自の排出量算定ツールによる算出,8916709,Increased,"活動量の増加に伴う電気使用量等のエネルギー使用量の増加
電気使用にかかる排出係数の増加","(34.3852029, 132.4552927)","(36.204824, 138.252924)"
